,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.43,0.98,0.31,0.26,0.09,0.67,0.44,0.26,0.46,0.23,0.41,0.27,0.53
freewrl.csv,0.5,0.56,0.56,0.58,0.55,1.0,0.42,0.45,0.54,0.31,0.65,0.27,0.7
fulguro.csv,0.25,0.34,0.66,0.08,0.27,0.22,0.09,0.28,0.0,0.23,0.18,1.0,0.26
google-web-toolkit.csv,0.18,0.42,0.41,0.37,0.73,0.41,0.99,0.51,0.46,0.35,0.35,0.64,0.52
jcache.csv,0.39,0.48,0.19,0.42,0.0,0.37,0.25,0.33,0.46,0.15,1.0,0.27,0.33
jstock.csv,0.39,0.28,0.09,0.24,0.36,0.0,0.13,0.17,1.0,0.15,0.32,0.09,0.05
mimosa.csv,0.61,0.95,0.59,0.95,0.36,0.0,0.5,0.44,0.38,0.46,0.56,0.0,0.74
miranda.csv,0.5,0.32,0.22,0.13,0.45,0.0,0.14,0.46,0.31,0.27,0.18,0.36,0.99
ns-3-dev-def-routing.csv,0.43,0.42,0.41,0.24,0.64,0.37,0.17,0.96,0.08,0.04,0.21,0.09,0.36
ossbuild.csv,0.25,0.25,0.88,0.16,0.36,0.3,0.12,0.3,0.08,0.04,0.15,0.09,0.15
qtractor.csv,0.93,0.2,0.44,0.34,0.45,0.37,0.29,0.5,0.23,0.19,0.24,0.73,0.49
quarkplayer.csv,0.11,0.15,0.0,0.0,0.82,0.26,0.16,0.16,0.38,0.46,0.12,0.0,0.09
synergyspace.csv,0.43,0.92,1.0,0.16,0.55,0.07,0.2,0.52,0.0,0.96,0.18,0.27,0.32
