,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.79,0.56,0.67,0.48,0.92,0.0,0.73,0.79,0.8,0.55
arsenal-1.csv,0.49,0.48,0.54,0.61,0.51,0.88,0.45,0.56,0.35,0.86
barracudamvc.csv,0.37,0.29,0.36,0.31,0.44,0.35,0.37,0.47,0.39,0.4
irplus.csv,0.55,0.75,0.4,0.47,0.94,0.62,0.65,0.71,0.92,0.56
lite.csv,0.92,0.5,0.67,0.86,0.87,0.92,0.69,0.93,0.75,0.0
mevenide.csv,0.95,0.56,0.9,0.71,0.92,0.7,0.76,0.83,0.94,0.76
ontopia.csv,0.47,0.3,0.48,0.34,0.36,0.45,0.37,0.49,0.41,0.48
openintents.csv,0.81,0.52,0.4,0.44,0.5,0.53,0.43,0.59,0.47,0.47
ta3d.csv,0.35,0.35,0.37,0.34,0.42,0.4,0.39,0.52,0.41,0.43
tweetsharp.csv,0.8,0.83,0.86,0.38,0.73,0.69,0.48,0.57,0.45,0.53
