,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.36,0.41,0.2,0.98,0.2,0.0,0.31,0.23,0.31,0.3
arsenal-1.csv,0.64,0.46,0.98,0.4,0.57,0.15,0.38,0.34,0.74,0.24
barracudamvc.csv,1.0,0.61,0.64,0.57,0.79,0.48,0.41,0.37,0.84,0.82
irplus.csv,0.65,0.22,0.54,0.59,0.26,0.98,0.47,0.39,0.36,0.53
lite.csv,0.21,0.08,0.13,0.34,0.29,0.38,0.93,0.23,0.09,0.0
mevenide.csv,0.23,0.34,0.16,0.33,0.25,0.49,0.31,1.0,0.5,0.54
ontopia.csv,0.7,0.61,0.38,0.61,0.99,0.45,0.48,0.32,0.77,0.61
openintents.csv,0.29,1.0,0.54,0.52,0.7,0.56,0.44,0.25,0.68,0.71
ta3d.csv,0.86,0.58,0.62,0.64,0.77,0.52,0.44,0.36,0.76,1.0
tweetsharp.csv,0.35,0.63,0.12,0.56,0.37,0.31,0.5,0.38,1.0,0.66
