,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.22,0.35,0.11,0.95,0.12,0.0,0.27,0.17,0.19,0.2
arsenal-1.csv,0.52,0.48,0.96,0.41,0.43,0.12,0.67,0.59,0.67,0.14
barracudamvc.csv,1.0,1.0,1.0,0.95,0.72,0.88,0.93,0.9,0.98,0.97
irplus.csv,0.51,0.13,0.52,0.55,0.16,0.96,0.6,0.52,0.24,0.4
lite.csv,0.11,0.04,0.07,0.23,0.17,0.28,0.87,0.17,0.05,0.0
mevenide.csv,0.13,0.3,0.11,0.27,0.14,0.44,0.33,1.0,0.36,0.43
ontopia.csv,0.59,0.91,0.41,0.91,1.0,0.6,0.8,0.55,0.76,0.54
openintents.csv,0.18,1.0,0.52,0.64,0.58,0.68,0.67,0.28,0.64,0.74
ta3d.csv,0.88,0.83,0.96,0.95,0.7,0.68,0.87,0.79,0.71,1.0
tweetsharp.csv,0.22,0.48,0.07,0.77,0.24,0.32,0.6,0.45,1.0,0.63
