,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.05,0.24,0.0,0.0,0.29,0.0,0.17,0.1,0.13,0.25
arsenal-1.csv,0.6,0.42,0.0,0.45,0.43,0.3,0.68,0.6,0.4,0.12
barracudamvc.csv,0.0,0.88,1.0,1.0,0.57,1.0,0.98,0.98,1.0,0.88
irplus.csv,0.3,0.03,0.35,0.23,0.29,0.0,0.34,0.38,0.2,0.25
lite.csv,0.0,0.03,0.03,0.06,0.14,0.11,0.0,0.1,0.13,0.0
mevenide.csv,0.25,0.33,0.23,0.26,0.14,0.2,0.29,0.0,0.2,0.38
ontopia.csv,0.5,0.76,0.65,0.77,0.07,0.61,0.56,0.61,0.6,0.5
openintents.csv,0.35,0.0,0.35,0.58,0.43,0.43,0.49,0.3,0.73,0.75
ta3d.csv,0.9,0.73,1.0,0.74,0.64,0.52,0.76,0.86,0.47,0.0
tweetsharp.csv,0.1,0.03,0.16,0.71,0.29,0.41,0.29,0.31,0.0,0.62
