,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.96,0.5,1.0,1.0,0.69,0.0,0.36,0.36,0.8,0.64
arsenal-1.csv,0.82,0.44,1.0,0.39,0.85,0.19,0.26,0.24,0.82,0.71
barracudamvc.csv,1.0,0.44,0.47,0.4,0.87,0.33,0.26,0.23,0.73,0.71
irplus.csv,0.9,0.75,0.56,0.63,0.75,1.0,0.39,0.31,0.77,0.78
lite.csv,1.0,0.5,0.67,0.71,0.87,0.58,1.0,0.36,0.5,0.0
mevenide.csv,0.74,0.39,0.3,0.43,0.85,0.55,0.29,1.0,0.83,0.71
ontopia.csv,0.86,0.46,0.35,0.45,0.99,0.36,0.34,0.23,0.78,0.7
openintents.csv,0.73,1.0,0.56,0.44,0.88,0.47,0.33,0.24,0.71,0.68
ta3d.csv,0.84,0.44,0.46,0.48,0.85,0.42,0.3,0.23,0.81,1.0
tweetsharp.csv,0.92,0.92,0.29,0.44,0.82,0.31,0.43,0.32,1.0,0.69
