,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.78,0.7,0.89,0.05,0.93,1.0,0.75,0.83,0.82,0.84
arsenal-1.csv,0.77,0.67,0.04,0.74,0.71,0.93,0.76,0.73,0.52,0.87
barracudamvc.csv,0.0,0.88,1.0,1.0,0.63,1.01,0.98,0.98,1.0,0.88
irplus.csv,0.57,0.87,0.6,0.51,0.89,0.04,0.53,0.61,0.79,0.65
lite.csv,0.89,0.96,0.93,0.78,0.84,0.73,0.13,0.83,0.96,1.0
mevenide.csv,0.9,0.77,0.92,0.77,0.87,0.6,0.73,0.0,0.67,0.68
ontopia.csv,0.65,0.76,0.88,0.78,0.07,0.73,0.6,0.76,0.65,0.68
openintents.csv,0.89,0.0,0.6,0.69,0.6,0.54,0.59,0.78,0.82,0.79
ta3d.csv,0.91,0.75,1.0,0.74,0.71,0.61,0.77,0.89,0.55,0.0
tweetsharp.csv,0.79,0.52,0.94,0.75,0.81,0.79,0.5,0.63,0.0,0.73
