,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.42,0.87,0.63,0.21,0.4,0.2,0.55,1.0,0.31,0.88,0.79,0.6
e-bio-flow.csv,0.37,0.57,0.67,0.83,0.76,0.2,0.36,1.0,0.13,0.75,0.79,0.4
freedom-erp.csv,0.46,0.07,0.27,0.05,0.76,0.0,0.36,0.12,0.39,0.0,0.35,0.08
jbasic.csv,0.8,0.52,0.77,0.83,0.97,1.0,1.0,0.88,0.94,0.38,0.41,0.8
jgossipforum.csv,0.37,0.43,0.4,0.52,0.02,1.0,0.36,0.75,0.22,0.88,0.18,0.4
joustsim.csv,0.17,0.78,0.43,0.76,0.08,1.0,0.82,0.88,0.63,0.88,0.56,0.75
jsidplay2.csv,0.85,0.55,0.57,0.57,0.99,0.2,0.82,0.38,0.8,0.5,0.68,0.55
madman.csv,0.49,0.24,0.33,0.43,0.27,0.2,0.45,1.0,0.04,0.75,0.07,0.2
mule.csv,0.59,0.63,0.63,0.16,0.97,0.6,0.64,0.25,0.69,0.38,0.69,0.65
nunit.csv,0.51,0.4,0.7,0.84,0.21,1.0,0.55,0.62,0.2,0.75,0.56,0.7
power-architect.csv,0.53,0.85,0.77,0.32,0.64,0.4,0.82,1.0,0.8,0.88,0.76,0.92
reaper3d.csv,0.59,0.32,0.57,0.75,0.84,0.8,0.18,0.62,0.57,0.88,0.4,0.35
