,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.46,0.59,0.58,0.25,0.45,0.24,0.58,0.0,0.36,0.27,0.72,0.61
e-bio-flow.csv,0.41,0.57,0.68,0.74,0.6,0.24,0.41,0.3,0.16,0.63,0.68,0.44
freedom-erp.csv,0.51,0.09,0.31,0.06,0.73,0.0,0.4,0.15,0.38,0.0,0.38,0.1
jbasic.csv,0.69,0.53,0.48,0.77,0.53,0.54,0.59,0.64,0.0,0.43,0.45,0.63
jgossipforum.csv,0.41,0.47,0.43,0.55,0.02,0.99,0.41,0.74,0.25,0.72,0.21,0.45
joustsim.csv,0.2,0.57,0.45,0.69,0.1,0.91,0.84,0.74,0.55,0.46,0.58,0.67
jsidplay2.csv,0.82,0.55,0.55,0.59,0.33,0.24,0.62,0.4,0.41,0.52,0.54,0.51
madman.csv,0.41,0.27,0.37,0.45,0.31,0.23,0.34,0.92,0.05,0.72,0.09,0.23
mule.csv,0.63,0.63,0.59,0.19,0.66,0.56,0.64,0.28,0.25,0.42,0.56,0.63
nunit.csv,0.51,0.44,0.5,0.66,0.25,0.83,0.58,0.3,0.24,0.58,0.56,0.7
power-architect.csv,0.52,0.46,0.52,0.35,0.52,0.41,0.68,0.17,0.8,0.24,0.67,0.3
reaper3d.csv,0.59,0.36,0.57,0.46,0.65,0.71,0.21,0.65,0.35,0.83,0.42,0.36
