,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.2,0.51,0.7,0.6,0.88,0.52,0.05,0.47,0.02,0.53,0.48
elateportal.csv,0.6,0.56,0.1,0.39,0.09,0.4,0.24,0.36,0.37,0.2,1.0
etics.csv,0.48,0.21,0.93,0.56,0.67,0.45,0.58,0.45,0.22,0.48,0.11
lockss.csv,0.0,0.21,0.18,0.16,0.09,1.0,0.05,0.13,0.2,0.32,0.0
pcgen.csv,0.1,0.3,0.72,0.97,0.61,0.58,0.09,0.34,0.01,0.32,0.06
personalaccess.csv,0.62,0.56,0.63,0.73,0.66,0.68,0.63,0.99,0.69,0.48,0.81
pydev.csv,0.46,0.27,0.51,0.61,0.09,0.54,0.54,0.39,0.0,0.95,0.13
rhex.csv,1.0,0.27,0.0,0.41,0.41,0.37,0.11,0.33,0.07,0.38,0.6
stuproa-cims.csv,0.69,0.0,0.44,0.68,0.05,0.67,0.96,0.55,0.45,0.67,0.06
uclmda.csv,0.38,0.16,0.0,0.02,0.0,0.11,0.0,0.13,1.0,0.07,0.0
wgs-assembler.csv,0.37,0.98,0.43,0.39,0.54,0.06,0.16,0.38,0.53,0.32,0.27
