,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.17,0.67,0.92,0.6,0.86,0.64,0.98,0.93,0.02,0.94,0.89
elateportal.csv,0.58,0.56,0.08,0.35,0.07,0.36,0.2,0.32,0.33,0.17,1.0
etics.csv,0.5,0.18,0.92,0.75,0.79,0.45,0.65,0.41,0.19,0.47,0.09
lockss.csv,0.0,0.18,0.15,0.13,0.07,1.0,0.04,0.11,0.17,0.28,0.0
pcgen.csv,0.08,0.26,0.69,0.96,0.64,0.55,0.07,0.3,0.01,0.28,0.05
personalaccess.csv,0.67,0.67,0.62,0.78,0.71,0.82,0.62,0.99,0.77,0.44,0.95
pydev.csv,0.42,0.23,0.46,0.64,0.07,0.55,0.6,0.35,0.12,0.94,0.11
rhex.csv,1.0,0.23,0.0,0.36,0.36,0.32,0.09,0.28,0.06,0.33,0.75
stuproa-cims.csv,0.75,1.0,0.54,0.8,1.0,0.82,0.95,0.72,0.42,0.86,0.05
uclmda.csv,0.33,0.13,0.0,0.02,0.0,0.09,0.0,0.11,1.0,0.06,0.0
wgs-assembler.csv,0.33,0.97,0.38,0.35,0.5,0.05,0.13,0.33,0.5,0.28,0.23
