,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.22,0.33,0.31,0.51,1.0,0.18,0.27,0.84,0.43,0.38,0.89
elateportal.csv,0.21,0.41,0.11,0.49,0.06,0.22,0.32,0.85,0.96,0.15,1.0
etics.csv,0.11,0.35,1.0,0.41,0.22,0.16,0.29,0.86,0.94,0.35,0.57
lockss.csv,0.0,0.54,0.4,0.7,0.2,1.0,0.4,0.93,0.97,0.48,0.0
pcgen.csv,0.5,0.45,0.69,0.98,0.21,0.33,0.29,0.84,0.33,0.32,1.0
personalaccess.csv,0.16,0.36,0.38,0.56,0.24,0.25,0.4,1.0,0.98,0.48,0.93
pydev.csv,0.17,0.47,0.75,0.47,0.09,0.21,0.26,0.84,0.76,1.0,0.62
rhex.csv,1.0,0.5,0.0,0.67,0.33,0.41,0.42,0.95,0.91,0.71,0.89
stuproa-cims.csv,0.19,0.36,0.18,0.48,0.17,0.24,1.0,0.83,0.97,0.41,0.5
uclmda.csv,0.24,0.33,0.0,0.33,0.0,0.33,0.0,0.78,1.0,0.18,0.0
wgs-assembler.csv,0.21,1.0,0.5,0.51,0.3,0.12,0.35,0.93,0.98,0.36,1.0
