,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.97,0.2,0.84,1.06,0.96,0.7,1.0,0.96,0.95,0.95,0.96,1.0,1.0,0.89,1.0,0.93,0.96,0.79,0.92,1.0
baadengine.csv,0.02,1.0,1.02,0.51,0.58,0.74,0.61,0.68,0.85,0.61,0.54,0.96,0.86,0.79,0.67,0.84,0.6,0.67,0.46,0.58
bibedt.csv,0.87,0.83,0.83,1.07,0.84,0.73,0.61,0.75,0.74,0.89,0.52,1.01,0.1,0.6,0.57,0.94,0.85,0.62,0.75,0.96
cascading.csv,0.79,1.12,0.56,0.28,0.58,0.74,0.64,0.6,0.67,0.47,0.58,0.78,0.64,0.7,0.46,0.85,0.0,0.65,0.9,0.87
dataobjectsdotnet.csv,0.77,0.98,1.0,1.01,0.67,0.89,0.84,0.66,0.85,0.75,0.67,0.53,1.01,0.81,0.71,0.66,0.81,0.06,0.8,0.9
gnome-jabber.csv,1.0,0.92,1.01,0.94,0.77,0.76,0.96,0.96,0.97,1.0,0.92,0.96,1.0,0.93,0.86,0.94,0.97,0.86,0.68,0.4
gogoego.csv,0.92,1.0,0.97,1.02,0.85,0.81,0.96,0.1,0.72,0.68,0.9,0.57,1.0,0.89,0.67,0.96,0.89,0.82,1.0,0.72
httpcontentparser.csv,0.96,1.0,0.98,1.01,0.84,0.75,1.0,0.87,0.84,0.91,0.1,1.0,0.72,0.72,0.85,0.8,0.98,0.89,0.85,0.99
impala.csv,0.73,1.01,0.97,0.86,0.95,0.93,0.96,0.96,0.88,1.0,0.95,1.03,0.93,0.9,0.96,0.16,0.88,0.8,0.88,0.67
jaxlib.csv,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jgameai.csv,0.92,0.63,0.96,1.02,0.95,0.08,0.55,0.73,0.96,0.8,0.91,0.54,0.83,0.86,0.89,0.96,0.9,0.94,0.93,0.86
jhotdraw.csv,0.89,1.0,0.92,1.0,0.87,0.93,1.0,0.85,0.05,0.93,0.95,1.0,1.0,1.0,0.97,0.96,0.95,0.91,0.97,1.0
loki-lib.csv,0.67,0.96,0.82,0.45,0.56,0.66,0.43,0.61,0.67,0.38,0.58,0.73,0.66,0.77,0.62,0.78,0.49,0.73,0.07,0.74
patterntesting.csv,0.63,0.88,1.21,0.26,0.61,0.74,0.8,0.59,0.58,0.02,0.47,0.46,0.37,0.44,0.51,0.92,0.76,0.67,0.74,0.62
pokeglobal.csv,0.74,0.98,0.59,0.42,0.02,0.62,0.51,0.68,0.72,0.72,0.84,0.75,0.71,0.77,0.46,0.91,0.53,0.72,0.7,0.87
snakeyaml.csv,0.95,0.43,0.61,1.25,0.7,0.68,0.81,0.67,0.66,0.81,0.75,0.66,0.91,0.53,0.07,0.78,0.73,0.7,0.92,0.82
unflobtactical.csv,0.73,0.31,0.77,1.06,0.66,0.72,0.44,0.59,0.68,0.78,0.68,0.65,0.63,0.0,0.72,0.87,0.72,0.64,0.74,0.89
werx.csv,1.0,0.97,0.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,1.0,1.0,1.0,1.0
zealos.csv,0.77,0.57,0.85,0.69,0.73,0.75,0.03,0.66,0.62,0.67,0.57,0.71,0.72,0.6,0.67,0.8,0.73,0.82,0.73,1.05
