,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.25,0.13,0.97,0.04,0.25,0.41
exl.csv,0.75,0.55,0.67,0.52,0.38,0.98
opennms.csv,0.93,0.09,0.33,0.1,0.12,0.02
phet.csv,0.36,0.93,0.23,0.56,0.12,0.02
runuomondains.csv,0.04,0.04,0.1,0.14,1.0,0.0
