,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.78,0.9,0.03,0.96,0.77,0.59
exl.csv,0.67,0.75,0.73,0.48,0.73,0.02
opennms.csv,0.07,0.94,0.7,0.9,0.93,0.98
phet.csv,0.77,0.07,0.89,1.09,0.91,0.98
runuomondains.csv,0.97,0.96,0.91,0.86,0.0,1.0
