,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.27,0.21,0.37,0.51,0.54,0.47,0.33,0.37,0.62,0.53,0.07,0.5,0.99,0.35,0.65,0.32,0.33
bwapi.csv,0.64,0.52,0.66,0.49,0.62,0.21,0.54,0.25,0.51,0.77,0.4,0.63,0.61,0.6,0.65,0.98,0.3
co-ode-owl-plugins.csv,0.2,0.4,0.54,0.26,0.58,0.18,0.0,1.0,0.38,0.23,0.0,0.17,0.26,0.36,0.32,0.25,0.0
firebreath.csv,0.56,0.55,0.66,0.59,0.66,0.94,0.54,0.33,0.58,0.6,0.45,0.25,0.4,0.38,0.53,0.47,0.78
frogatto.csv,0.6,0.61,0.7,0.62,0.62,0.62,0.6,0.57,0.66,0.55,0.54,0.53,0.58,0.76,0.95,0.35,0.75
gretl.csv,0.53,0.63,0.74,0.43,0.24,0.3,0.45,0.6,0.17,0.41,0.14,0.99,0.48,0.9,0.32,0.13,0.16
jasperreports.csv,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
konversation.csv,0.07,0.22,0.86,0.02,0.24,0.02,0.0,0.0,0.07,0.0,0.0,0.07,0.07,0.23,0.13,0.05,0.0
linuxsh.csv,0.43,0.93,0.71,0.34,0.62,0.58,0.33,0.24,0.51,0.61,0.35,0.23,0.2,0.45,0.55,0.3,0.45
moviesandbox.csv,0.38,0.31,0.74,0.45,1.0,0.53,0.33,0.74,0.25,0.49,0.29,0.46,0.31,0.54,0.4,0.27,0.17
ontomorphtab.csv,0.98,0.31,0.65,0.63,0.31,0.64,0.5,0.4,0.63,0.65,0.53,0.41,0.3,0.85,0.68,0.38,0.55
opengs.csv,0.33,0.31,0.29,0.38,0.48,0.26,0.12,0.26,1.0,0.51,0.07,0.61,0.48,0.63,0.29,0.04,0.34
scite-ru.csv,0.62,0.11,0.5,0.57,0.47,0.54,0.8,0.3,0.54,0.21,0.0,0.1,0.07,0.66,0.43,0.15,0.59
tokratan.csv,0.0,0.0,0.0,0.09,0.29,0.02,0.12,0.0,0.0,0.89,0.0,0.04,0.06,0.05,0.0,0.01,0.17
vrjuggler.csv,0.2,0.11,0.68,0.49,0.17,0.46,0.27,0.13,0.34,0.64,0.95,0.19,0.13,0.34,0.55,0.07,0.67
wxcode.csv,0.11,0.0,0.1,0.09,0.0,0.0,0.12,0.0,0.0,0.16,0.0,0.09,0.07,0.18,0.0,0.0,1.0
xuggle.csv,0.39,0.75,0.62,0.88,0.6,0.28,0.37,0.58,0.6,0.5,0.07,0.39,0.52,0.35,0.22,0.36,0.74
