,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.23,0.13,0.31,0.25,0.43,0.17,0.0,0.41,0.6,0.0
gamestone.csv,0.13,0.0,0.17,0.14,0.24,0.04,0.2,0.08,0.13,0.0
gbif-providertoolkit.csv,0.26,0.08,0.01,0.01,0.0,0.0,0.0,0.13,0.13,0.0
heekscad.csv,0.0,0.33,0.34,0.47,0.39,0.17,0.16,0.36,0.62,0.2
igarden.csv,0.06,0.23,0.03,0.0,0.01,0.13,0.03,0.03,0.23,0.0
levent.csv,0.19,0.31,0.39,0.49,0.31,0.04,0.54,0.24,0.31,0.4
owlapi.csv,0.02,0.0,0.01,0.07,0.12,0.09,0.04,0.0,0.17,0.0
pnotepad.csv,0.7,0.63,0.76,0.92,0.88,0.78,0.68,0.6,0.92,0.0
quark.csv,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0
xcsoar.csv,0.19,0.5,0.0,0.38,0.37,0.22,0.42,0.31,0.54,0.2
