,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.67,0.0,0.36,0.54,0.64,0.43,0.41,0.54,0.51,0.09,1.0,0.18,0.94,0.24
awemud.csv,0.99,0.32,0.2,0.56,0.66,0.52,0.49,0.48,0.6,0.09,0.63,0.24,1.0,0.31
buddata-ebxml-registry.csv,0.72,0.25,0.27,0.48,0.62,0.41,0.38,0.41,0.51,0.09,0.52,0.2,1.0,0.22
cornerstone.csv,0.79,0.23,0.0,0.49,0.64,0.55,0.54,0.89,0.98,0.12,0.58,0.27,1.0,0.26
firebreath.csv,0.77,0.2,0.18,0.45,0.64,0.42,1.0,0.6,0.48,0.08,0.43,0.21,0.96,0.25
lsb.csv,0.74,0.97,0.34,0.51,0.61,0.43,0.39,0.48,0.56,0.09,0.54,0.19,0.95,0.34
maya-work-in-progress.csv,0.78,0.15,0.37,0.54,0.67,0.45,0.44,1.0,0.52,0.08,0.62,0.19,1.0,0.31
mia.csv,0.78,0.22,0.0,0.43,0.67,0.35,0.0,0.57,0.64,0.94,0.46,0.19,0.88,0.16
open-beos.csv,0.83,0.24,0.14,0.66,0.67,0.98,0.44,0.72,0.48,0.17,0.54,0.27,0.9,0.42
qgis.csv,0.77,0.22,0.57,1.0,0.61,0.46,0.48,0.82,0.6,0.08,0.48,0.32,1.0,0.31
rocrail.csv,0.96,0.0,0.2,0.65,0.82,0.7,0.63,0.38,0.65,0.14,0.73,0.42,1.0,1.0
rtb-team.csv,0.81,0.55,1.0,0.68,0.71,0.52,0.5,0.92,0.59,0.09,0.73,0.39,1.0,0.41
tradelink.csv,0.83,0.17,0.0,0.73,0.65,0.58,0.38,0.33,0.4,0.09,0.5,1.0,0.86,0.32
upp-mirror.csv,0.78,0.88,0.0,0.68,1.0,0.55,0.52,0.41,0.55,0.24,0.5,0.32,1.0,0.4
