,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.6,0.01,0.19,0.43,0.24,0.34,0.38,0.28,0.57,0.38,0.0,0.48,0.5,0.49
awemud.csv,0.03,0.17,0.54,0.49,0.32,0.36,0.45,0.3,0.45,0.5,0.37,0.51,0.0,0.54
buddata-ebxml-registry.csv,1.0,1.0,1.0,0.99,0.98,0.97,1.0,1.0,1.0,0.99,1.0,0.99,0.0,1.0
cornerstone.csv,0.27,0.91,0.22,0.39,0.49,0.21,0.19,0.02,0.02,0.41,0.31,0.39,0.0,0.36
firebreath.csv,0.53,0.89,0.24,0.78,0.66,0.38,0.0,0.13,0.91,0.13,0.46,0.71,0.25,0.74
lsb.csv,0.83,0.01,0.62,0.86,0.85,0.7,0.72,0.68,0.6,0.76,0.86,0.78,0.75,0.52
maya-work-in-progress.csv,0.57,0.56,0.32,0.62,0.68,0.59,0.55,0.0,0.87,0.75,0.51,0.73,0.0,0.59
mia.csv,0.17,0.97,0.03,0.39,0.27,0.36,0.01,0.06,0.19,0.01,0.2,0.27,0.75,0.39
open-beos.csv,0.23,0.12,0.16,0.23,0.49,0.01,0.28,0.11,0.72,0.3,0.34,0.49,0.5,0.26
qgis.csv,0.43,0.87,0.08,0.0,0.49,0.35,0.35,0.06,0.38,0.5,0.37,0.32,0.0,0.54
rocrail.csv,0.03,0.0,0.11,0.15,0.07,0.06,0.07,0.11,0.17,0.14,0.09,0.09,0.0,0.0
rtb-team.csv,0.27,0.04,0.0,0.18,0.27,0.2,0.18,0.02,0.34,0.48,0.11,0.14,0.0,0.3
tradelink.csv,0.2,0.52,0.03,0.16,0.17,0.12,0.16,0.21,0.13,0.11,0.11,0.0,0.25,0.16
upp-mirror.csv,0.17,0.02,0.03,0.14,0.0,0.17,0.14,0.21,0.11,0.18,0.29,0.17,0.0,0.19
