,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.55,0.0,0.31,0.53,0.39,0.4,0.41,0.5,0.54,0.15,0.97,0.25,0.59,0.33
awemud.csv,0.99,0.28,0.25,0.6,0.49,0.56,0.57,0.44,0.63,0.16,0.6,0.34,0.53,0.45
buddata-ebxml-registry.csv,0.83,0.4,0.42,0.64,0.76,0.58,0.56,0.58,0.68,0.17,0.68,0.33,1.0,0.35
cornerstone.csv,0.52,0.37,0.0,0.44,0.59,0.45,0.42,0.39,0.96,0.2,0.47,0.37,0.4,0.33
firebreath.csv,0.72,0.3,0.15,0.54,0.68,0.42,0.97,0.38,0.61,0.09,0.36,0.34,0.51,0.4
lsb.csv,0.82,0.82,0.48,0.66,0.71,0.56,0.52,0.62,0.63,0.17,0.68,0.3,0.93,0.51
maya-work-in-progress.csv,0.78,0.21,0.41,0.63,0.76,0.56,0.53,1.0,0.66,0.15,0.7,0.3,0.85,0.47
mia.csv,0.36,0.35,0.0,0.36,0.45,0.32,0.0,0.21,0.43,0.94,0.24,0.22,0.46,0.2
open-beos.csv,0.58,0.15,0.09,0.55,0.65,0.95,0.39,0.52,0.54,0.27,0.44,0.39,0.41,0.52
qgis.csv,0.65,0.34,0.36,0.99,0.54,0.46,0.5,0.57,0.57,0.14,0.38,0.43,0.59,0.45
rocrail.csv,0.51,0.0,0.1,0.4,0.35,0.32,0.3,0.15,0.42,0.17,0.33,0.32,0.28,0.98
rtb-team.csv,0.58,0.21,0.97,0.51,0.53,0.4,0.36,0.53,0.52,0.16,0.42,0.38,0.39,0.54
tradelink.csv,0.51,0.23,0.0,0.56,0.31,0.35,0.21,0.21,0.14,0.1,0.17,1.0,0.16,0.29
upp-mirror.csv,0.36,0.65,0.0,0.43,0.99,0.39,0.32,0.29,0.2,0.33,0.34,0.32,0.19,0.43
