,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,2.0,181.0,5.0,6.0,4.0,0.0,8.0,7.0,3.0,17.0,0.0,0.0,2.0,9.0
awemud.csv,0.0,5.0,0.0,0.0,2.0,0.0,6.0,0.0,5.0,48.0,2.0,1.0,0.0,22.0
buddata-ebxml-registry.csv,2.0,1.0,1.0,0.0,1.0,8.0,3.0,0.0,0.0,8.0,2.0,1.0,0.0,21.0
cornerstone.csv,1.0,1.0,51.0,0.0,1.0,5.0,1.0,0.0,0.0,11.0,7.0,1.0,0.0,22.0
firebreath.csv,2.0,0.0,7.0,0.0,1.0,5.0,0.0,4.0,0.0,16.0,0.0,1.0,0.0,18.0
lsb.csv,1.0,0.0,2.0,0.0,3.0,5.0,3.0,0.0,1.0,20.0,2.0,2.0,0.0,0.0
maya-work-in-progress.csv,1.0,54.0,0.0,1.0,1.0,7.0,1.0,0.0,3.0,14.0,4.0,1.0,0.0,9.0
mia.csv,1.0,1.0,51.0,0.0,1.0,8.0,155.0,2.0,0.0,0.0,5.0,2.0,0.0,11.0
open-beos.csv,0.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,4.0,0.0,6.0
qgis.csv,1.0,1.0,2.0,0.0,1.0,7.0,1.0,0.0,1.0,8.0,9.0,1.0,0.0,16.0
rocrail.csv,1.0,181.0,4.0,1.0,0.0,3.0,1.0,5.0,0.0,2.0,1.0,2.0,0.0,0.0
rtb-team.csv,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,42.0,0.0,3.0,0.0,6.0
tradelink.csv,1.0,1.0,51.0,0.0,1.0,1.0,1.0,0.0,4.0,18.0,3.0,0.0,0.0,6.0
upp-mirror.csv,0.0,3.0,51.0,0.0,0.0,6.0,1.0,8.0,0.0,8.0,4.0,0.0,0.0,12.0
