,forester-atv.csv,adonthell.csv,chaperon.csv,yarp0.csv,pokenetonline.csv,gephex.csv,primefaces.csv,rcp-company-uibindings.csv
adonthell.csv,0.36,0.62,0.62,0.47,0.46,0.57,0.83,0.51
chaperon.csv,0.91,0.95,0.75,0.73,0.92,0.95,0.8,0.97
forester-atv.csv,0.57,0.86,0.83,0.5,0.92,0.92,0.65,0.96
gephex.csv,0.41,0.63,0.58,0.54,0.39,0.48,0.5,0.55
pokenetonline.csv,0.34,0.88,0.71,0.67,0.39,0.92,0.5,0.5
primefaces.csv,0.45,0.44,0.42,0.41,0.38,0.36,0.42,0.49
rcp-company-uibindings.csv,0.35,0.49,0.41,0.4,0.34,0.34,0.33,0.4
yarp0.csv,0.86,0.68,0.79,0.71,0.88,0.65,0.93,0.79
