,recall,precision,pf,wins
algebsql.csv,0.5349999999999999,0.51,0.53,6
amygdala.csv,0.195,0.5,0.29500000000000004,8
cme.csv,0.0,0.0,0.0,0
dspace-gsoc.csv,0.625,0.475,0.445,10
hydrate.csv,0.37,0.47,0.38,7
ivef-sdk.csv,0.525,0.41000000000000003,0.565,1
jmri.csv,0.38,0.555,0.27,14
kdenlive.csv,0.625,0.45999999999999996,0.445,9
motu.csv,0.5900000000000001,0.48,0.355,13
plplot.csv,0.575,0.51,0.63,3
projectfactory.csv,0.585,0.505,0.435,11
runuomondains.csv,0.685,0.45499999999999996,0.6000000000000001,5
somap.csv,0.96,0.5,0.925,2
taverna.csv,0.33,0.58,0.155,15
tigermud.csv,0.30000000000000004,0.41500000000000004,0.315,4
wishmaster.csv,0.39,0.52,0.29000000000000004,12
