,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.51,0.51,0.33,0.71,0.9,0.25,0.2,0.17,0.8,0.42,0.67,0.11,1.0,0.8,0.61,0.12
amygdala.csv,0.71,0.6,0.31,1.0,0.0,0.33,0.22,0.05,0.4,0.71,0.67,0.14,0.91,0.68,0.86,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.83
dspace-gsoc.csv,0.83,0.47,0.38,0.54,0.32,0.41,0.2,0.24,0.48,0.6,0.8,0.36,0.92,0.67,0.78,0.1
hydrate.csv,0.79,0.55,0.34,0.33,0.44,0.34,0.15,0.17,0.5,0.71,0.77,0.14,1.0,0.67,0.69,0.1
ivef-sdk.csv,0.67,0.54,0.29,1.0,0.27,0.22,0.21,0.0,0.49,0.33,0.67,0.0,0.86,0.8,0.5,0.11
jmri.csv,0.88,0.64,0.14,1.0,0.46,0.41,0.11,0.23,0.56,0.62,0.55,0.21,0.93,0.83,0.67,0.09
kdenlive.csv,0.82,0.52,0.36,0.35,0.42,0.4,0.26,0.32,0.5,0.58,0.67,0.16,0.96,0.65,0.68,0.16
motu.csv,0.81,0.49,0.38,0.97,0.38,0.4,0.27,0.39,0.47,0.57,0.67,0.15,0.91,0.64,0.85,0.11
plplot.csv,0.74,0.5,0.24,0.52,0.53,0.58,0.17,0.25,0.5,0.45,0.68,0.13,0.93,0.53,0.59,0.03
projectfactory.csv,0.78,0.53,0.45,0.44,0.48,0.36,0.09,0.27,0.55,0.59,0.63,0.21,0.93,0.68,0.72,0.11
runuomondains.csv,0.85,0.54,0.26,0.69,0.44,0.43,0.24,0.24,0.47,0.49,0.67,0.39,0.97,0.43,0.64,0.07
somap.csv,0.64,0.46,0.38,0.57,0.54,0.26,0.2,0.22,0.45,0.54,0.65,0.11,1.0,0.64,0.63,0.11
taverna.csv,0.89,0.58,0.58,0.83,0.57,0.44,0.19,0.3,0.48,0.7,1.0,0.17,1.0,0.63,0.7,0.0
tigermud.csv,0.51,0.45,0.43,0.0,0.25,1.0,0.0,0.19,0.4,0.33,0.53,0.14,0.91,0.73,0.67,0.0
wishmaster.csv,0.75,0.51,0.28,0.88,0.17,0.3,0.4,0.5,0.53,0.59,0.75,0.29,0.91,0.67,0.67,0.12
