,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.72,0.81,0.64,0.61,0.72,0.72,0.38,0.98,0.49,0.65,0.63,0.32,0.96,0.48,0.6
emulemorph.csv,0.88,0.9,1.0,0.55,0.9,1.1,0.77,0.96,1.0,0.82,0.88,0.99,1.0,1.0,0.91
fceugc.csv,0.53,0.65,1.0,0.61,0.4,0.98,0.85,0.79,0.81,0.81,0.64,0.73,0.69,0.55,0.75
gnukeda.csv,0.66,0.38,0.58,0.91,0.83,0.27,1.0,0.8,0.95,0.95,0.92,0.93,0.72,0.68,0.74
gusanos.csv,0.84,0.68,0.53,1.02,0.95,0.91,0.72,0.29,1.0,0.85,0.74,0.78,0.75,0.89,0.79
micomt.csv,0.6,0.91,0.61,0.78,0.7,1.12,0.21,0.8,0.84,0.79,0.65,0.74,1.0,0.76,0.87
modplug.csv,0.92,0.97,0.74,0.95,0.72,1.07,0.71,0.7,0.82,0.34,0.72,0.86,0.79,0.59,0.75
ogre.csv,0.76,0.48,0.85,0.82,0.8,0.05,0.67,0.73,0.83,0.63,0.95,0.81,1.03,0.78,0.82
openfrag.csv,0.92,0.66,0.44,0.69,0.55,1.3,0.58,0.49,0.77,0.42,0.34,0.52,0.94,0.49,0.68
oscarmcmaster.csv,0.75,0.49,0.51,0.64,0.54,0.98,0.41,0.71,0.64,0.47,0.44,0.42,0.96,0.41,0.56
pidgin.csv,0.41,0.6,0.44,0.55,0.86,1.22,0.65,0.63,0.78,0.67,0.61,0.75,0.49,0.67,0.61
repositorium.csv,0.99,0.78,0.93,0.7,0.8,0.6,1.02,0.95,0.32,0.98,1.03,0.89,0.77,0.91,0.72
unimrcp.csv,0.55,0.61,0.43,0.61,0.52,0.87,0.55,0.62,0.81,0.76,0.55,0.59,0.82,0.57,0.75
xapian.csv,0.82,0.94,0.9,0.83,0.59,1.05,0.47,0.7,0.83,0.53,0.91,0.8,1.0,0.43,0.82
xqilla.csv,0.86,0.78,0.93,0.58,0.73,0.83,1.11,0.98,0.92,0.87,0.84,0.91,0.06,0.87,0.82
