,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,wxstudio.csv,simplewebservices.csv,uwom.csv
acegisecurity.csv,0.66,0.66,0.56,0.46,0.64,0.65
ppcboot.csv,0.41,0.21,0.6,0.0,0.09,0.24
simplewebservices.csv,0.51,0.73,0.3,0.67,0.68,0.71
uwom.csv,0.54,0.81,0.49,0.29,0.6,0.83
wow-qrsk.csv,0.51,0.84,0.48,0.04,0.25,0.81
wxstudio.csv,0.25,0.28,0.41,0.71,0.01,0.28
