,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.47,0.75,0.95,0.5,0.0,0.94,0.0,0.0,0.88,0.91
fityk.csv,0.58,0.53,0.39,0.58,0.49,0.66,0.53,0.4,0.59,0.48
freenet.csv,0.56,0.53,0.43,0.57,0.43,0.37,0.54,0.41,0.51,0.48
geogebra.csv,0.43,0.85,0.33,0.53,0.36,0.66,0.55,0.45,0.51,0.47
hibernate.csv,0.65,0.54,0.46,0.49,0.65,0.75,0.54,0.35,0.57,0.52
itext.csv,0.42,0.46,0.35,0.39,0.37,0.31,0.47,0.32,0.43,0.41
k3b.csv,0.57,0.5,0.38,0.45,0.47,0.42,0.47,0.37,0.53,0.41
lamp.csv,0.64,0.86,0.4,0.41,0.45,0.43,0.53,0.41,0.55,0.42
megameknet.csv,0.83,0.52,0.37,0.52,0.42,0.59,0.53,0.42,0.52,0.46
thout.csv,0.4,0.57,0.4,0.52,0.42,0.34,0.49,0.38,0.45,0.41
