,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.99,0.86,0.44,0.24,0.7,0.64,0.83,0.55,1.0,0.0,0.71,0.88,0.63,0.58,0.78,0.86
bullet.csv,0.55,0.72,0.69,0.33,0.28,0.97,0.58,0.55,0.67,0.92,0.53,0.41,0.57,0.62,0.28,0.86
customwars.csv,0.15,0.19,0.12,0.11,0.12,0.13,0.17,0.27,0.5,0.0,1.0,0.27,0.1,0.23,0.08,0.37
dvd-create.csv,0.76,0.87,0.94,0.38,0.99,0.76,0.9,0.64,1.0,0.75,0.71,0.63,0.63,0.85,0.47,0.82
gbif-indexingtoolkit.csv,0.18,0.2,0.06,0.56,0.22,0.18,0.12,0.82,0.33,0.0,0.18,0.17,0.3,0.15,0.31,0.24
go.csv,0.87,1.0,0.5,0.4,0.69,0.78,0.98,0.73,1.0,0.75,1.0,0.85,0.67,0.77,0.81,0.82
growl-for-windows.csv,0.62,0.61,0.56,0.67,0.47,0.63,0.88,0.82,1.0,0.0,0.82,0.63,0.73,0.62,0.97,0.63
gss.csv,0.91,0.95,1.0,0.98,0.8,0.9,0.9,0.45,1.0,0.17,0.76,0.76,0.93,0.96,0.56,0.88
kwave.csv,0.19,0.3,1.0,0.31,0.15,0.01,0.19,0.27,0.17,0.33,0.35,0.17,0.13,0.12,0.14,0.12
libarchive.csv,0.58,0.62,0.25,0.56,0.34,0.63,0.65,0.55,0.83,0.0,0.82,0.66,0.67,0.38,0.64,0.96
linux-ntfs.csv,0.47,0.62,0.5,0.29,0.42,0.54,0.62,0.73,1.0,0.0,0.65,0.68,0.5,1.0,0.44,0.53
lsb.csv,0.91,0.77,0.56,0.98,0.62,0.72,0.83,0.82,1.0,0.0,1.0,0.95,0.93,0.73,0.78,0.78
mpgravity.csv,0.51,0.41,0.31,0.49,0.45,0.55,0.29,0.64,0.83,0.92,0.41,0.63,0.33,0.23,0.64,0.61
qcad2.csv,0.37,0.99,0.62,0.31,0.93,0.46,0.98,1.0,0.67,0.42,0.41,0.88,0.33,0.65,0.67,0.98
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.03,0.0
xinity.csv,0.35,0.01,0.19,0.0,0.03,0.43,0.58,0.09,0.33,0.0,0.24,0.98,0.4,0.23,0.17,0.04
