,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.04,0.86,0.74,0.77,0.68,0.63,0.68,0.62,0.48,1.0,0.8,0.82,0.51,0.75,0.55,0.65
bullet.csv,0.67,0.54,0.83,0.68,0.75,0.03,0.65,0.51,0.7,0.93,0.62,0.8,0.48,0.76,0.82,0.73
customwars.csv,0.85,0.81,0.88,0.89,0.89,0.97,0.83,0.76,0.5,1.0,0.0,0.81,0.9,0.77,0.92,0.64
dvd-create.csv,0.9,0.79,0.73,0.79,0.01,0.62,0.79,0.57,0.89,0.57,0.71,0.65,0.47,0.84,0.89,0.79
gbif-indexingtoolkit.csv,0.83,0.81,0.95,0.45,0.79,0.82,0.88,0.18,0.67,1.0,0.84,0.84,0.71,0.85,0.8,0.81
go.csv,0.78,0.04,0.68,0.65,0.64,0.7,0.74,0.86,0.81,0.75,0.86,0.82,0.64,0.86,0.54,0.73
growl-for-windows.csv,0.66,0.5,0.63,0.8,0.73,0.6,0.75,0.59,0.8,1.0,0.77,0.82,0.94,0.56,0.03,0.62
gss.csv,0.97,1.0,0.88,0.93,0.8,0.91,0.78,0.69,0.86,0.89,0.83,0.81,0.07,0.93,0.99,0.89
kwave.csv,0.82,0.71,0.0,0.69,0.85,0.99,0.82,0.73,0.88,0.81,0.7,0.83,0.88,0.89,0.86,0.88
libarchive.csv,0.52,0.46,0.8,0.45,0.66,0.42,0.43,0.65,0.37,1.0,0.79,0.77,0.37,0.78,0.53,0.04
linux-ntfs.csv,0.62,0.65,0.61,0.71,0.59,0.66,0.52,0.48,0.24,1.01,0.5,0.73,0.54,0.0,0.62,0.49
lsb.csv,0.67,0.77,0.72,0.02,0.44,0.68,0.72,0.78,0.46,1.0,0.93,1.0,0.6,0.61,0.92,0.46
mpgravity.csv,0.56,0.72,0.94,0.77,0.78,0.8,0.81,0.63,0.75,0.08,0.69,0.75,0.8,0.87,0.46,0.69
qcad2.csv,0.68,0.91,0.43,1.1,0.89,0.59,0.02,0.96,0.42,0.69,0.74,0.89,0.73,0.68,0.56,0.87
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17,1.0,1.0,1.0,1.0,1.0,0.97,1.0
xinity.csv,0.68,0.99,0.86,1.0,0.97,0.77,0.62,1.01,0.7,1.0,0.83,0.02,0.78,0.78,0.85,0.96
