,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.48,0.0,0.0,0.99,0.13,0.0,0.17,0.0,0.0,0.09
chrysalis.csv,0.69,0.59,0.42,0.61,0.77,0.42,0.64,0.41,0.42,0.8
jahshaka.csv,0.67,0.81,0.41,0.54,0.55,0.65,0.61,0.41,0.51,0.69
jam-daq.csv,0.65,0.11,0.26,0.48,0.64,0.16,0.65,0.09,0.07,0.13
jatlas.csv,0.57,0.54,0.43,0.6,0.96,0.13,0.66,0.28,0.29,0.49
jedit.csv,0.75,0.63,0.61,0.0,0.3,0.74,0.0,0.48,0.63,0.33
mscore.csv,0.57,0.56,0.55,0.0,0.7,0.71,0.24,0.61,0.52,0.57
open-media-library.csv,0.62,0.49,0.69,0.0,0.86,0.59,0.66,0.46,0.56,0.05
panda3d.csv,0.63,0.31,0.53,0.72,0.71,0.28,0.7,0.49,0.59,0.67
wheat.csv,0.36,0.39,0.34,0.53,0.78,0.61,0.53,0.7,0.47,0.26
