,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.47,0.56,0.39,0.91,0.67
minig.csv,1.0,0.67,0.74,1.0,0.07
ossbuild.csv,0.21,0.6,0.46,0.78,0.31
rezilla.csv,0.84,0.6,0.35,0.31,0.24
webdriver.csv,0.26,0.73,0.57,0.06,0.44
