,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.66,0.72,0.24,0.22,0.19,0.51,0.57,0.54,0.45,0.11,0.29,0.19,0.45,0.1,0.84,0.53,0.3,0.81,0.8
co-ode-owl-plugins.csv,0.59,0.53,0.37,0.34,0.23,0.75,0.55,0.55,0.33,0.6,0.61,0.17,0.46,0.12,0.8,0.46,0.19,0.67,0.87
exl.csv,0.33,0.57,0.11,0.33,0.19,0.65,0.54,0.3,0.38,0.18,0.6,0.19,0.2,0.08,0.51,0.41,0.3,0.69,0.88
firebreath.csv,0.58,0.56,0.3,0.28,0.29,0.69,0.59,0.59,0.48,0.16,0.38,0.26,0.44,0.23,0.41,0.53,0.14,0.43,0.71
irplus.csv,0.43,0.58,0.08,0.38,0.39,0.65,0.59,0.42,0.47,0.15,0.43,0.25,0.34,0.22,0.28,0.58,0.38,0.42,0.56
jasperreports.csv,0.45,0.54,0.18,0.22,0.16,0.45,0.56,0.54,0.43,0.11,0.19,0.17,0.24,0.45,0.26,0.37,0.32,0.42,0.64
javaprofiler.csv,0.62,0.77,0.3,0.23,0.2,0.73,0.62,0.55,0.32,0.42,0.55,0.18,0.47,0.21,0.32,0.51,0.31,0.83,0.86
konversation.csv,0.27,0.45,0.3,0.49,0.29,0.51,0.47,0.5,0.26,0.4,0.11,0.22,0.5,0.2,0.23,0.49,0.25,0.4,0.56
lazarus-ccr.csv,0.78,0.54,0.29,0.08,0.18,0.54,0.54,0.45,0.33,0.4,0.19,0.21,0.49,0.05,0.83,0.46,0.2,0.52,0.7
linuxsh.csv,0.54,0.53,0.4,0.09,0.21,0.65,0.43,0.25,0.0,0.59,0.61,0.16,0.07,0.02,0.76,0.33,0.1,0.23,0.68
migen.csv,0.27,0.45,0.32,0.32,0.37,0.49,0.68,0.45,0.08,0.48,0.66,0.21,0.13,0.3,0.15,0.38,0.0,0.69,0.88
moviesandbox.csv,0.55,0.73,0.36,0.3,0.23,0.71,0.59,0.55,0.21,0.5,0.51,0.19,0.43,0.17,0.34,0.41,0.17,0.66,0.86
mvnforum.csv,0.0,0.36,0.26,0.12,0.14,0.57,0.4,0.42,0.14,0.43,0.57,0.1,0.45,0.02,0.59,0.17,0.05,0.54,0.51
nebuladevice.csv,0.43,0.52,0.0,0.13,0.11,0.15,0.37,0.4,0.42,0.35,0.12,0.24,0.18,0.08,0.13,0.2,0.47,0.68,0.0
ontomorphtab.csv,0.44,0.78,0.29,0.38,0.43,0.67,0.57,0.52,0.42,0.11,0.44,0.38,0.32,0.27,0.32,0.48,0.29,0.45,0.83
opengs.csv,0.28,0.36,0.3,0.45,0.34,0.67,0.37,0.52,0.23,0.29,0.71,0.22,0.37,0.14,0.47,0.33,0.26,0.56,0.87
scite-ru.csv,0.63,0.75,0.32,0.25,0.28,0.71,0.61,0.47,0.47,0.33,0.66,0.23,0.43,0.1,0.86,0.55,0.24,0.78,0.87
tokratan.csv,0.29,0.47,0.33,0.42,0.37,0.64,0.59,0.34,0.17,0.1,0.46,0.34,0.44,0.15,0.21,0.48,0.26,0.67,0.75
xuggle.csv,0.61,0.67,0.27,0.3,0.46,0.65,0.54,0.5,0.46,0.13,0.67,0.37,0.47,0.09,0.74,0.52,0.27,0.61,0.46
