,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.46,0.47,0.48,0.43,0.49,0.57,0.42,0.43,0.36,0.39,0.95,0.62,0.31,0.46,0.65,0.35,0.31,0.4,0.53
co-ode-owl-plugins.csv,0.53,0.55,0.7,0.6,0.56,0.42,0.47,0.56,0.89,0.96,0.36,0.43,0.39,0.55,0.49,0.55,0.45,0.62,0.45
exl.csv,0.56,0.59,0.86,0.56,0.64,0.39,0.55,0.69,0.52,0.66,0.63,0.52,0.83,0.71,0.85,0.58,0.5,0.54,0.44
firebreath.csv,0.48,0.42,0.43,0.49,0.58,0.41,0.41,0.56,0.52,0.44,0.46,0.51,0.39,0.7,0.59,0.36,0.93,0.62,0.45
irplus.csv,0.36,0.41,0.54,0.4,0.75,0.33,0.32,0.43,0.35,0.42,0.54,0.6,0.33,0.37,0.46,0.44,0.38,0.54,0.38
jasperreports.csv,0.41,0.68,0.48,0.43,0.55,0.56,0.47,0.45,0.35,0.39,0.56,0.9,0.67,0.69,0.9,0.49,0.35,0.88,0.54
javaprofiler.csv,0.5,0.45,0.61,0.4,0.49,0.38,0.39,0.45,0.69,0.59,0.4,0.43,0.31,0.46,0.58,0.5,0.33,0.52,0.46
konversation.csv,0.83,0.57,0.88,0.55,0.86,0.63,0.48,0.59,0.94,0.95,0.94,0.51,0.47,0.6,0.68,0.5,0.51,0.71,0.55
lazarus-ccr.csv,0.52,0.46,0.44,0.67,0.53,0.65,0.46,0.6,0.64,0.76,0.77,0.5,0.44,0.62,0.55,0.38,0.48,0.56,0.6
linuxsh.csv,0.51,0.68,0.67,0.91,0.97,0.42,0.67,0.96,0.67,0.96,0.37,0.5,0.91,0.98,0.53,0.91,0.83,0.92,0.48
migen.csv,0.69,0.71,0.64,0.62,0.74,0.81,0.47,0.87,0.67,0.88,0.56,0.54,0.92,0.65,0.91,0.71,0.92,0.64,0.44
moviesandbox.csv,0.58,0.51,0.86,0.52,0.73,0.4,0.5,0.5,0.94,0.85,0.65,0.48,0.44,0.66,0.56,0.59,0.65,0.54,0.44
mvnforum.csv,0.0,0.8,0.57,0.95,0.72,0.56,0.9,0.91,0.88,0.96,0.68,0.91,0.58,0.86,0.82,0.9,0.96,0.6,0.88
nebuladevice.csv,0.61,0.68,0.0,0.74,0.98,0.91,0.6,0.57,0.4,0.63,0.97,0.83,0.93,0.99,0.92,0.93,0.57,0.59,0.0
ontomorphtab.csv,0.35,0.38,0.42,0.42,0.54,0.36,0.34,0.41,0.35,0.4,0.45,0.44,0.38,0.45,0.52,0.52,0.36,0.56,0.38
opengs.csv,0.8,0.89,0.53,0.54,0.65,0.39,0.5,0.51,0.8,0.67,0.58,0.57,0.41,0.6,0.64,0.91,0.49,0.57,0.43
scite-ru.csv,0.39,0.48,0.6,0.6,0.58,0.4,0.45,0.53,0.64,0.55,0.47,0.49,0.33,0.46,0.49,0.42,0.37,0.42,0.45
tokratan.csv,0.8,0.56,0.56,0.62,0.73,0.37,0.43,0.74,0.5,0.67,0.95,0.68,0.37,0.53,0.94,0.65,0.39,0.49,0.35
xuggle.csv,0.38,0.44,0.4,0.56,0.64,0.37,0.42,0.46,0.37,0.5,0.51,0.69,0.33,0.46,0.51,0.41,0.35,0.43,0.67
