,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.8,0.35,0.38,0.0,0.29,0.06,0.84,0.83,0.25,0.43,0.76,0.42
blue-c.csv,0.63,0.85,0.62,0.0,0.79,0.94,0.65,0.83,1.0,0.74,0.9,0.75
cities3d.csv,0.87,0.4,0.12,0.75,0.17,0.03,0.73,0.67,0.62,0.02,0.33,0.06
dynalloy.csv,0.8,0.83,0.52,0.12,0.79,0.71,0.92,0.43,0.88,0.71,0.81,0.58
firebird.csv,0.6,0.38,0.61,0.0,0.44,0.91,0.78,0.47,0.56,0.52,1.0,0.56
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.84,1.0,0.88,0.0,0.05,1.0
nosleepsoftware.csv,0.27,0.0,0.12,0.88,0.05,0.0,0.08,0.0,0.0,0.07,0.0,0.08
openmalaria.csv,0.9,0.48,0.68,0.69,0.4,0.57,0.7,0.7,0.81,0.71,0.9,0.58
popeye-chess.csv,0.7,0.33,0.47,0.19,0.73,0.74,0.41,0.57,0.75,0.5,0.76,0.53
qgo.csv,0.9,0.52,0.88,0.75,0.62,0.8,0.89,0.7,0.81,0.95,0.62,0.86
xmoto.csv,0.1,0.44,0.42,0.5,0.67,0.43,0.73,0.53,0.75,0.57,0.33,0.72
yield.csv,0.83,0.98,0.72,0.44,0.71,0.91,1.0,0.8,0.88,0.86,0.95,0.78
