,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.47,0.4,0.69,0.0,0.75,0.33,0.1,0.76,0.15,0.45,0.73,0.6
blue-c.csv,0.5,0.42,0.59,0.0,0.61,0.57,0.16,0.86,0.16,0.56,0.54,0.55
cities3d.csv,0.51,0.34,0.72,0.24,0.52,0.33,0.21,0.5,0.34,0.5,0.41,1.0
dynalloy.csv,0.5,0.63,0.54,0.07,0.6,0.43,0.09,0.87,0.13,0.41,0.49,0.4
firebird.csv,0.69,0.39,0.68,0.0,0.88,0.63,0.14,0.93,0.31,0.67,0.45,0.69
hydrogen.csv,0.46,0.36,0.52,0.25,0.49,0.44,0.09,0.57,0.45,0.0,1.0,0.47
nosleepsoftware.csv,0.62,0.0,0.56,0.48,0.23,0.0,0.03,0.0,0.0,0.43,0.0,0.25
openmalaria.csv,0.53,0.35,0.58,0.24,0.61,0.83,0.16,0.72,0.25,0.75,0.4,0.58
popeye-chess.csv,0.68,0.47,0.65,0.13,0.71,0.65,0.35,0.74,0.3,0.64,0.47,0.7
qgo.csv,0.84,0.32,0.54,0.27,0.56,0.44,0.09,0.5,0.26,0.49,0.34,0.48
xmoto.csv,0.75,0.37,0.57,0.22,0.66,0.62,0.17,0.7,0.27,0.71,0.58,0.68
yield.csv,0.57,0.4,0.63,0.2,0.79,0.64,0.09,0.77,0.17,0.52,0.42,0.57
