,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.53,0.39,0.43,0.0,0.34,0.07,0.63,0.79,0.29,0.45,0.77,0.46
blue-c.csv,0.59,0.65,0.6,0.0,0.72,0.76,0.66,0.83,0.52,0.69,0.76,0.68
cities3d.csv,0.62,0.42,0.15,0.5,0.2,0.04,0.73,0.46,0.65,0.02,0.37,0.07
dynalloy.csv,0.61,0.81,0.52,0.14,0.71,0.52,0.5,0.48,0.32,0.42,0.67,0.49
firebird.csv,0.63,0.42,0.62,0.0,0.49,0.81,0.71,0.52,0.6,0.56,0.43,0.6
hydrogen.csv,0.0,0.0,0.0,0.0,0.13,0.0,0.55,0.3,0.87,0.0,0.06,0.27
nosleepsoftware.csv,0.31,0.0,0.15,0.83,0.06,0.0,0.1,0.0,0.0,0.09,0.0,0.1
openmalaria.csv,0.65,0.48,0.62,0.53,0.44,0.62,0.69,0.7,0.76,0.73,0.13,0.59
popeye-chess.csv,0.7,0.37,0.51,0.22,0.73,0.73,0.46,0.6,0.74,0.54,0.64,0.57
qgo.csv,0.89,0.48,0.52,0.58,0.6,0.47,0.43,0.42,0.77,0.54,0.41,0.58
xmoto.csv,0.12,0.46,0.45,0.47,0.67,0.47,0.72,0.56,0.73,0.6,0.38,0.72
yield.csv,0.71,0.52,0.68,0.43,0.73,0.82,0.09,0.78,0.63,0.67,0.27,0.71
