,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,11.0,2.0,0.0,62.0,0.0,2.0,53.0,1.0,9.0,3.0,0.0,1.0
blue-c.csv,8.0,2.0,0.0,62.0,4.0,4.0,9.0,0.0,3.0,1.0,0.0,1.0
cities3d.csv,9.0,2.0,0.0,4.0,2.0,2.0,4.0,3.0,0.0,1.0,6.0,0.0
dynalloy.csv,5.0,1.0,0.0,1.0,6.0,7.0,28.0,1.0,5.0,3.0,2.0,1.0
firebird.csv,3.0,2.0,0.0,62.0,0.0,3.0,9.0,0.0,12.0,0.0,0.0,4.0
hydrogen.csv,11.0,2.0,0.0,1.0,7.0,12.0,23.0,1.0,0.0,92.0,0.0,1.0
nosleepsoftware.csv,2.0,142.0,0.0,1.0,7.0,78.0,80.0,54.0,115.0,4.0,50.0,1.0
openmalaria.csv,8.0,1.0,1.0,18.0,2.0,0.0,41.0,0.0,3.0,1.0,1.0,8.0
popeye-chess.csv,0.0,3.0,0.0,6.0,0.0,3.0,4.0,0.0,5.0,2.0,0.0,1.0
qgo.csv,0.0,1.0,0.0,0.0,1.0,16.0,43.0,0.0,7.0,13.0,0.0,0.0
xmoto.csv,1.0,5.0,1.0,13.0,1.0,3.0,20.0,2.0,3.0,5.0,2.0,1.0
yield.csv,1.0,2.0,0.0,20.0,0.0,3.0,50.0,0.0,23.0,3.0,1.0,1.0
