,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.8,0.72,0.64,1.02,0.72,0.95,0.71,0.36,0.78,0.72,0.31,0.63
blue-c.csv,0.66,0.68,0.61,1.14,0.51,0.57,0.47,0.23,0.82,0.54,0.54,0.56
cities3d.csv,0.73,0.75,0.88,0.83,0.84,0.97,0.37,0.87,0.42,0.98,0.75,0.94
dynalloy.csv,0.71,0.32,0.68,1.04,0.54,0.8,0.82,0.57,0.92,0.89,0.63,0.82
firebird.csv,0.46,0.7,0.5,1.01,0.56,0.44,0.51,0.53,0.48,0.52,0.87,0.49
hydrogen.csv,1.0,1.0,1.0,1.0,0.97,1.0,0.78,0.92,0.21,1.0,0.95,0.93
nosleepsoftware.csv,0.75,1.0,0.89,0.34,0.96,1.0,0.94,1.01,1.0,0.93,1.01,0.94
openmalaria.csv,0.69,0.73,0.61,0.79,0.65,0.44,0.45,0.44,0.42,0.35,0.97,0.54
popeye-chess.csv,0.41,0.7,0.6,0.92,0.39,0.41,0.6,0.5,0.38,0.55,0.65,0.51
qgo.csv,0.17,0.79,0.81,0.75,0.59,0.84,0.87,0.89,0.41,0.81,0.92,0.76
xmoto.csv,0.9,0.7,0.67,0.79,0.46,0.61,0.43,0.54,0.41,0.47,0.69,0.39
yield.csv,0.57,0.82,0.54,0.82,0.34,0.42,0.98,0.34,0.71,0.66,0.93,0.53
