,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.48,0.66,0.66,0.02
jajuk.csv,0.04,0.47,0.65,0.88
vapor.csv,0.81,1.01,0.04,0.79
zorannt.csv,0.78,0.04,0.8,0.81
