,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.2,0.16,0.32,0.4,0.14,0.3,0.09,0.32,0.15,0.37,0.91,0.23,0.0,0.14,0.44,0.42,0.4,0.14,0.18,0.26
badtrinity-zero.csv,0.24,0.51,0.5,0.96,0.6,0.43,0.29,0.57,0.85,0.47,0.15,0.39,0.16,0.53,0.53,0.6,0.52,0.57,0.05,0.59
boost.csv,0.5,0.41,0.41,0.59,0.62,0.31,0.34,0.52,0.7,0.57,0.09,0.97,0.15,0.6,0.59,0.62,0.39,0.57,0.12,0.54
critterding.csv,0.25,0.95,0.29,0.41,0.51,0.35,0.18,0.42,0.76,0.17,0.09,0.25,0.14,0.46,0.64,0.53,0.51,0.31,0.15,0.38
enzo.csv,0.53,0.49,0.5,0.67,0.69,0.49,0.45,0.54,0.71,0.43,0.15,0.52,0.12,0.76,0.58,0.73,0.53,0.98,0.18,0.51
etics.csv,0.26,0.61,0.92,0.67,0.57,0.45,0.36,0.44,0.81,0.47,0.14,0.17,0.2,0.62,0.63,0.5,0.52,0.81,0.2,0.63
fmri-dmt.csv,0.08,0.0,0.0,0.14,0.12,0.15,0.0,0.18,0.25,0.0,0.0,0.12,0.24,0.06,0.24,0.16,0.0,0.27,1.0,0.03
genecys.csv,0.6,0.61,0.39,0.66,0.78,0.49,0.31,0.55,0.99,0.51,0.15,0.56,0.12,0.81,0.62,0.76,0.49,0.86,0.17,0.52
gusanos.csv,0.41,0.54,0.33,0.49,0.67,0.53,0.25,0.47,0.69,0.5,0.23,0.4,0.11,1.0,0.49,0.63,0.54,0.34,0.22,0.45
kftpgrabber.csv,0.35,0.56,0.4,0.37,0.4,0.4,0.39,0.34,0.54,0.48,0.21,0.64,0.11,0.68,0.49,0.51,0.95,0.33,0.07,0.46
kvs.csv,0.43,0.43,0.58,0.48,0.27,0.4,1.0,0.38,0.44,0.5,0.12,0.32,0.14,0.6,0.54,0.61,0.44,0.7,0.07,0.33
mcore3d.csv,0.36,0.49,0.42,0.52,0.99,0.52,0.29,0.43,0.7,0.36,0.17,0.53,0.12,0.6,0.55,0.49,0.58,0.37,0.17,0.44
modplug.csv,0.55,0.6,0.38,0.62,0.75,0.54,0.38,0.59,0.83,0.5,0.15,0.51,0.18,0.77,0.6,0.99,0.55,0.75,0.17,0.55
monetdb.csv,0.38,0.52,0.44,0.49,0.47,0.31,0.14,0.33,0.53,0.96,0.18,0.34,0.06,0.6,0.55,0.57,0.52,0.23,0.1,0.38
ogrehg.csv,0.47,0.46,0.48,0.64,0.64,0.49,0.41,0.94,0.61,0.39,0.14,0.52,0.15,0.55,0.59,0.63,0.45,0.67,0.2,0.38
passwordsafe.csv,0.52,0.62,0.38,0.62,0.71,0.56,0.37,0.61,0.83,0.55,0.19,0.47,0.14,0.73,0.68,0.8,0.58,0.56,0.15,0.94
projecteqemu.csv,0.47,0.43,0.42,0.47,0.58,0.46,0.08,0.49,0.55,0.36,0.1,0.36,0.15,0.46,0.96,0.44,0.57,0.37,0.09,0.45
quarkplayer.csv,0.35,0.38,0.29,0.42,0.26,0.19,0.44,0.28,0.03,0.25,0.04,0.31,0.9,0.46,0.46,0.51,0.16,0.61,0.16,0.31
reactos-mirror.csv,0.92,0.53,0.39,0.59,0.68,0.46,0.39,0.52,0.84,0.57,0.16,0.53,0.13,0.72,0.6,0.73,0.46,0.46,0.19,0.48
xbplayer.csv,0.29,0.39,0.13,0.24,0.32,0.92,0.15,0.27,0.32,0.3,0.26,0.34,0.16,0.35,0.45,0.38,0.4,0.11,0.46,0.26
