,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.46,1.0,0.5,0.91,0.9,0.42,0.5,0.68,0.83,0.67,1.0,0.55,0.0,1.0,0.79,0.94,0.8,0.89,0.2,0.69
badtrinity-zero.csv,0.52,0.6,0.35,0.95,0.74,0.38,0.21,0.56,0.92,0.35,0.08,0.31,0.09,0.79,0.5,0.69,0.4,0.73,0.03,0.48
boost.csv,0.46,0.36,0.29,0.56,0.67,0.24,0.25,0.42,0.92,0.51,0.05,0.99,0.08,0.68,0.45,0.69,0.33,0.72,0.07,0.55
critterding.csv,0.35,1.0,0.24,0.45,0.75,0.36,0.23,0.45,0.95,0.26,0.05,0.27,0.09,0.68,0.6,0.74,0.46,0.86,0.1,0.34
enzo.csv,0.43,0.45,0.34,0.54,0.74,0.38,0.29,0.43,0.88,0.31,0.09,0.42,0.07,0.75,0.48,0.68,0.42,0.97,0.1,0.39
etics.csv,0.28,0.53,1.0,0.64,0.68,0.35,0.24,0.5,0.87,0.37,0.08,0.32,0.12,0.73,0.53,0.59,0.46,0.91,0.12,0.55
fmri-dmt.csv,0.5,0.0,0.0,0.67,0.62,0.33,0.0,0.28,0.9,0.0,0.0,0.28,0.33,1.0,0.83,0.71,0.0,0.68,1.0,0.2
genecys.csv,0.46,0.45,0.24,0.55,0.69,0.33,0.2,0.39,1.0,0.36,0.08,0.39,0.07,0.69,0.48,0.7,0.33,0.81,0.1,0.37
gusanos.csv,0.48,0.42,0.29,0.52,0.71,0.38,0.17,0.38,0.9,0.38,0.13,0.36,0.06,1.0,0.49,0.66,0.4,1.0,0.14,0.37
kftpgrabber.csv,0.53,0.51,0.42,0.6,0.75,0.3,0.55,0.58,0.89,0.54,0.18,0.57,0.07,0.74,0.6,0.95,0.97,1.0,0.05,0.67
kvs.csv,0.43,0.43,0.5,0.49,0.69,0.33,1.0,0.46,0.9,0.46,0.07,0.39,0.08,0.77,0.5,0.7,0.42,0.98,0.04,0.41
mcore3d.csv,0.47,0.44,0.32,0.5,1.0,0.45,0.19,0.46,0.88,0.32,0.1,0.44,0.07,0.72,0.54,0.68,0.45,1.0,0.1,0.4
modplug.csv,0.45,0.51,0.24,0.52,0.69,0.42,0.26,0.48,0.91,0.34,0.08,0.46,0.1,0.79,0.51,1.0,0.39,0.83,0.09,0.41
monetdb.csv,0.37,0.47,0.43,0.68,0.63,0.3,0.22,0.52,0.96,0.96,0.12,0.36,0.04,0.63,0.62,0.83,0.46,0.67,0.07,0.47
ogrehg.csv,0.5,0.41,0.5,0.57,0.77,0.37,0.3,0.95,0.83,0.3,0.08,0.55,0.09,0.76,0.48,0.72,0.42,0.79,0.14,0.3
passwordsafe.csv,0.58,0.56,0.24,0.66,0.75,0.44,0.31,0.54,0.92,0.48,0.11,0.43,0.08,0.78,0.59,0.91,0.47,0.88,0.09,0.93
projecteqemu.csv,0.59,0.65,0.67,0.7,0.85,0.42,0.25,0.62,0.92,0.41,0.07,0.66,0.09,0.79,0.97,0.94,0.57,0.78,0.06,0.65
quarkplayer.csv,0.34,0.4,0.24,0.42,0.62,0.18,0.29,0.28,0.33,0.22,0.02,0.29,1.0,0.57,0.47,0.55,0.2,0.78,0.1,0.3
reactos-mirror.csv,0.94,0.44,0.25,0.51,0.69,0.33,0.27,0.4,0.91,0.51,0.09,0.4,0.07,0.7,0.48,0.79,0.33,0.76,0.1,0.42
xbplayer.csv,0.5,0.59,0.5,0.63,0.86,1.0,0.16,0.7,0.92,0.64,0.27,0.46,0.12,1.0,0.71,0.93,0.5,0.86,0.43,0.53
