,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.99,0.67,0.83,0.86,0.9,0.83,0.5,0.98,0.83,0.94,0.9,0.97,0.95,0.8,0.86,0.69,0.9,0.89,0.8,0.92
badtrinity-zero.csv,0.99,0.64,0.52,0.53,0.52,0.54,0.5,0.55,0.4,0.42,0.4,0.57,0.48,0.53,0.47,0.52,0.52,0.56,0.46,0.41
boost.csv,0.56,0.59,0.55,0.56,0.57,0.64,0.45,0.6,0.55,0.49,0.58,0.69,0.54,0.62,0.45,0.53,0.61,0.63,0.56,0.62
critterding.csv,0.88,0.65,0.52,0.74,0.74,0.72,0.92,0.76,0.44,0.96,0.64,0.73,0.73,0.65,0.5,0.65,0.59,0.95,0.75,0.69
enzo.csv,0.42,0.47,0.4,0.46,0.4,0.41,0.38,0.41,0.31,0.39,0.45,0.49,0.41,0.4,0.35,0.41,0.42,0.4,0.3,0.41
etics.csv,0.71,0.49,0.73,0.53,0.52,0.51,0.4,0.85,0.41,0.54,0.58,0.98,0.78,0.53,0.38,0.59,0.54,0.46,0.47,0.55
fmri-dmt.csv,0.97,0.0,0.67,0.89,0.92,0.92,0.92,0.98,0.9,0.67,0.75,0.97,0.83,0.5,0.83,0.86,0.5,0.96,0.83,0.8
genecys.csv,0.45,0.42,0.39,0.47,0.41,0.4,0.49,0.46,0.46,0.35,0.4,0.45,0.4,0.42,0.42,0.41,0.42,0.4,0.32,0.47
gusanos.csv,0.61,0.46,0.59,0.52,0.42,0.4,0.49,0.47,0.31,0.37,0.38,0.51,0.4,0.42,0.43,0.4,0.4,0.86,0.57,0.47
kftpgrabber.csv,0.7,0.68,0.67,0.74,0.73,0.58,0.91,0.75,0.33,0.57,0.94,0.64,0.57,0.58,0.52,0.6,0.55,0.75,0.57,0.67
kvs.csv,0.51,0.51,0.61,0.58,0.93,0.6,0.8,0.59,0.55,0.5,0.67,0.73,0.67,0.56,0.52,0.49,0.64,0.45,0.65,0.79
mcore3d.csv,0.75,0.47,0.56,0.49,0.47,0.41,0.47,0.51,0.34,0.49,0.4,0.6,0.52,0.53,0.43,0.61,0.43,0.74,0.39,0.49
modplug.csv,0.4,0.45,0.41,0.47,0.42,0.38,0.41,0.45,0.36,0.4,0.46,0.44,0.44,0.4,0.33,0.43,0.42,0.43,0.3,0.42
monetdb.csv,0.62,0.65,0.79,0.68,0.63,0.84,0.89,0.76,0.5,0.57,0.86,0.66,0.62,0.62,0.72,0.59,0.59,0.95,0.8,0.84
ogrehg.csv,0.64,0.55,0.58,0.54,0.55,0.48,0.58,0.65,0.67,0.56,0.51,0.58,0.64,0.63,0.46,0.56,0.56,0.55,0.93,0.55
passwordsafe.csv,0.68,0.51,0.38,0.51,0.47,0.46,0.52,0.54,0.37,0.45,0.54,0.53,0.56,0.41,0.43,0.47,0.37,0.56,0.36,0.6
projecteqemu.csv,0.73,0.71,0.83,0.68,0.56,0.7,0.75,0.76,0.58,0.65,0.9,0.98,0.67,0.5,0.57,0.71,0.57,0.81,0.75,0.84
quarkplayer.csv,0.66,0.7,0.76,0.75,0.97,0.8,0.57,0.79,0.67,0.73,0.55,0.88,0.89,0.67,0.56,0.6,0.95,0.68,0.58,0.72
reactos-mirror.csv,0.65,0.56,0.43,0.52,0.55,0.53,0.51,0.57,0.52,0.51,0.6,0.56,0.48,0.53,0.48,0.51,0.52,0.76,0.38,0.7
xbplayer.csv,0.91,0.65,0.5,0.95,0.89,0.67,0.95,0.97,0.69,0.93,0.91,0.61,0.96,0.79,0.71,0.79,0.65,0.86,0.86,0.95
