,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,1.02,0.94,0.87,0.47,0.85,0.22,0.0,1.0,0.67,0.88,0.93,0.9,0.83,0.66,0.94
continuum-ide.csv,0.81,0.93,0.88,1.0,0.97,1.02,0.93,0.03,0.83,0.88,0.51,0.86,0.85,0.94,0.89
fleet-simulator.csv,0.53,0.61,0.81,1.0,0.89,1.06,0.89,0.87,0.92,1.0,1.0,1.01,0.0,0.69,1.0
hydrate.csv,0.97,0.87,0.89,1.0,1.0,1.14,1.0,0.55,0.95,0.89,0.43,0.88,0.96,0.94,0.0
ivef-sdk.csv,0.62,0.48,0.74,0.65,0.69,0.0,0.79,1.02,0.74,0.58,1.0,0.94,1.26,0.93,0.97
jmri.csv,0.5,0.6,0.03,0.6,0.79,0.91,0.71,0.7,0.84,0.88,0.6,0.81,0.86,0.79,0.63
kdenlive.csv,0.03,0.57,0.65,0.98,0.62,1.2,0.72,0.73,0.83,0.9,0.66,0.93,0.07,0.68,0.65
mia.csv,0.89,0.87,0.69,1.0,0.82,0.85,0.9,0.77,0.06,0.92,1.0,0.75,1.17,0.89,0.79
ontopia.csv,0.69,0.4,0.79,0.61,0.81,0.97,0.51,0.74,0.83,0.14,0.8,1.11,0.44,0.75,0.7
opentibia.csv,0.9,0.0,0.76,1.0,0.89,0.37,0.61,0.94,0.93,0.66,0.87,0.89,0.9,0.96,0.9
runuomondains.csv,0.95,0.94,0.94,0.81,1.0,0.98,0.97,1.0,0.94,0.88,0.12,0.99,1.29,0.86,0.84
somap.csv,0.92,1.0,0.93,1.0,0.96,1.0,1.0,0.95,0.94,1.0,1.0,0.0,1.0,0.68,1.0
taverna.csv,0.8,0.94,0.91,0.59,0.15,0.99,0.88,0.83,1.02,0.92,0.89,0.87,0.8,0.81,0.97
tigermud.csv,0.91,0.73,0.8,0.96,0.69,0.18,0.69,0.86,0.94,0.71,0.91,0.84,0.9,0.14,0.85
x-ray-mule.csv,0.78,0.81,0.74,0.0,0.94,0.93,0.94,1.0,0.92,0.78,1.0,0.99,0.96,0.89,0.97
