,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.18,0.2,0.16,0.53,0.19,0.79,1.0,0.12,0.44,0.13,0.12,0.11,0.17,0.43,0.06
continuum-ide.csv,0.2,0.07,0.12,0.0,0.04,0.0,0.09,1.0,0.17,0.13,0.5,0.14,0.15,0.06,0.12
fleet-simulator.csv,0.87,0.82,0.89,0.7,0.96,0.64,1.0,0.94,0.83,0.95,1.0,0.86,1.0,0.83,1.0
hydrate.csv,0.03,0.13,0.11,0.0,0.0,0.07,0.0,0.59,0.06,0.16,0.88,0.12,0.04,0.06,1.0
ivef-sdk.csv,0.75,0.59,0.53,1.0,0.81,1.0,0.52,0.0,0.61,0.5,0.0,0.57,0.09,0.17,0.03
jmri.csv,0.65,0.57,0.97,0.43,0.3,0.16,0.39,0.47,0.33,0.24,0.5,0.21,0.22,0.57,0.45
kdenlive.csv,0.99,0.61,0.79,0.43,0.56,0.28,0.94,0.88,0.78,0.72,0.88,0.6,0.93,0.51,0.85
mia.csv,0.11,0.13,0.34,0.0,0.33,0.15,0.18,0.24,0.94,0.18,0.0,0.25,0.39,0.17,0.27
ontopia.csv,0.65,0.64,0.72,0.9,0.56,0.03,0.58,0.59,0.67,1.0,0.25,0.51,0.57,0.51,0.33
opentibia.csv,0.94,1.0,0.54,1.0,0.56,1.0,0.88,0.82,1.0,0.86,0.75,0.69,0.78,0.89,0.91
runuomondains.csv,0.06,0.16,0.07,0.2,0.0,0.03,0.03,0.0,0.06,0.13,0.88,0.01,0.06,0.14,0.18
somap.csv,0.99,1.0,0.95,1.0,1.0,0.99,1.0,1.0,0.94,0.99,1.0,1.0,1.0,0.86,1.0
taverna.csv,0.21,0.06,0.1,0.43,0.85,0.01,0.12,0.18,0.0,0.09,0.12,0.19,0.2,0.26,0.03
tigermud.csv,0.83,0.71,0.76,0.9,0.81,0.94,0.94,0.82,0.61,0.7,0.88,0.92,0.78,1.0,0.7
x-ray-mule.csv,0.3,0.19,0.32,1.0,0.11,0.07,0.12,0.0,0.11,0.22,0.0,0.26,0.04,0.11,0.03
