,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.7,0.5,0.05,0.19,0.11,0.12,0.5,0.59,0.27,0.33,0.71,0.06,0.03,0.33
baadengine.csv,0.85,0.52,0.02,0.44,0.47,0.14,0.66,0.64,0.31,0.38,0.59,0.22,0.06,0.62
bnetd.csv,0.47,0.96,0.03,0.38,0.34,0.09,0.75,0.58,0.17,0.35,0.56,0.23,0.09,0.37
impala.csv,0.07,0.12,0.04,0.48,0.19,0.07,0.44,0.04,0.0,0.11,0.21,0.32,0.13,0.23
jaxen.csv,0.84,0.88,0.03,0.44,0.54,0.56,0.51,0.54,0.35,0.39,0.58,0.23,0.08,0.4
jgameai.csv,0.0,0.02,0.0,0.5,0.17,0.0,0.05,0.11,0.12,0.0,0.0,0.0,0.0,0.0
jparsec.csv,0.8,0.47,0.03,0.29,0.46,0.09,0.68,0.51,0.26,0.34,0.4,0.2,0.06,0.7
motu.csv,0.48,0.89,0.02,0.19,0.06,0.1,0.62,0.6,0.23,0.53,0.59,0.21,0.09,0.55
vars-redux.csv,0.36,0.33,0.04,0.32,0.55,0.2,0.65,0.65,0.28,0.36,0.5,0.21,0.08,0.53
werx.csv,0.85,0.98,0.02,0.45,0.47,0.13,0.65,0.54,0.31,0.35,0.56,0.21,0.05,0.57
wishmaster.csv,0.28,0.36,0.0,0.0,0.0,0.14,0.42,0.55,0.45,0.13,0.28,0.21,0.15,0.3
xreal.csv,0.12,0.18,0.0,0.21,0.06,0.0,0.21,0.15,0.0,0.1,0.0,0.29,0.83,0.08
zealos.csv,0.3,0.12,0.0,0.24,0.56,0.0,0.1,0.1,0.0,0.0,0.45,0.0,0.08,0.24
