,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.61,0.34,1.0,0.15,0.07,0.2,0.41,0.84,0.43,0.46,0.76,0.08,0.2,0.38
baadengine.csv,0.78,0.36,1.0,0.65,1.0,1.0,0.92,0.98,0.93,0.85,1.0,1.0,1.0,0.73
bnetd.csv,0.36,0.93,1.0,0.54,0.27,0.8,0.69,0.82,0.21,0.46,0.9,0.88,1.0,0.47
impala.csv,0.04,0.07,1.0,0.62,0.17,0.4,0.36,0.02,0.0,0.08,0.19,0.56,0.6,0.16
jaxen.csv,0.95,0.8,1.0,0.85,0.8,1.0,0.49,0.76,0.86,0.92,0.95,0.84,1.0,0.51
jgameai.csv,0.0,0.01,0.0,0.58,0.2,0.0,0.03,0.06,0.14,0.0,0.0,0.0,0.0,0.0
jparsec.csv,0.8,0.31,1.0,0.31,0.97,0.4,0.97,0.57,0.64,0.77,0.57,0.68,1.0,0.73
motu.csv,0.33,0.82,1.0,0.15,0.03,0.8,0.51,0.96,0.36,0.69,0.9,0.8,0.8,0.93
vars-redux.csv,0.23,0.2,1.0,0.35,0.57,1.0,0.56,0.71,0.5,0.54,0.52,0.48,0.8,0.53
werx.csv,0.98,0.96,1.0,1.0,1.0,1.0,0.87,0.82,1.0,0.92,0.95,0.92,1.0,1.0
wishmaster.csv,0.18,0.22,0.0,0.0,0.0,0.4,0.28,0.8,0.64,0.08,0.19,0.48,1.0,0.2
xreal.csv,0.06,0.1,0.0,0.15,0.03,0.0,0.13,0.1,0.0,0.08,0.0,0.52,1.0,0.04
zealos.csv,0.18,0.07,0.0,0.15,0.67,0.0,0.05,0.06,0.0,0.0,0.43,0.0,0.4,0.18
