,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.49,0.44,0.64,0.79,0.84
empyrean.csv,0.41,1.0,1.0,1.0,1.0
mplayer-ce.csv,0.85,0.58,0.6,0.69,0.55
nutz.csv,0.77,0.87,0.36,0.79,0.89
yafdotnet.csv,0.76,0.47,0.48,0.41,0.74
