,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.6,0.41,0.53,0.52,0.67,0.68,0.0,0.74,0.77,0.6,0.45,0.7,0.68,0.54,0.68,0.65,0.68,0.33,0.5
aubit4gl.csv,0.62,0.27,0.67,0.54,0.56,0.5,0.55,0.08,0.0,0.43,0.35,0.22,0.58,0.41,0.26,0.46,0.53,0.33,0.28
ipfilter.csv,0.83,0.84,0.8,0.52,0.6,0.93,0.86,0.8,0.85,0.89,0.7,0.83,0.68,0.86,0.84,0.72,0.0,0.78,0.66
jmol.csv,0.68,0.59,0.86,0.73,0.83,1.0,0.86,0.66,0.85,0.91,0.79,0.04,0.84,0.75,0.97,0.91,0.95,0.78,0.69
liferea.csv,0.16,0.05,0.14,0.12,0.09,0.0,0.0,0.06,0.35,0.31,0.19,0.09,0.18,0.3,0.06,0.16,0.16,0.22,0.06
miranda-icq.csv,0.13,0.27,0.16,0.06,0.25,0.2,0.07,0.3,0.33,0.11,0.59,0.17,0.16,0.38,0.23,0.01,0.05,0.56,0.0
moving-pictures.csv,0.41,0.43,0.75,0.56,0.55,0.16,0.1,0.54,0.6,0.71,0.17,0.3,0.66,0.37,0.0,0.42,0.37,0.22,0.78
opensim4opencog.csv,0.01,0.14,0.06,0.0,0.01,0.0,0.0,0.06,0.0,0.11,0.0,0.35,0.13,0.0,0.03,0.0,0.0,0.0,0.0
pclasses.csv,0.03,0.0,0.0,0.17,0.01,0.02,0.0,0.1,0.25,0.14,0.15,0.26,0.03,0.0,0.06,0.09,0.0,0.0,0.5
pfaedit.csv,0.38,0.14,0.47,0.4,0.37,0.64,0.03,0.28,0.54,0.0,0.31,0.22,0.61,0.51,0.19,0.33,0.26,0.33,0.25
plearn.csv,0.01,0.38,0.08,0.42,0.12,0.23,0.59,0.62,0.58,0.26,0.08,0.35,0.32,0.24,0.45,0.42,0.74,0.67,0.5
psrchive.csv,0.06,0.18,0.0,0.25,0.0,0.23,0.28,0.42,0.62,0.06,0.01,0.09,0.03,0.1,0.23,0.28,0.37,0.44,0.19
re2c.csv,0.29,0.25,0.0,0.35,0.45,0.25,0.21,0.5,0.44,0.23,0.1,0.17,0.39,0.08,0.13,0.41,0.26,0.56,0.69
rockbox.csv,0.55,0.34,0.37,0.4,0.61,0.48,0.03,0.42,0.56,0.4,0.37,0.61,0.68,0.59,0.58,0.54,0.37,0.33,0.0
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
tktoolkit.csv,0.21,0.66,0.41,0.56,0.35,0.3,0.79,0.48,0.67,0.51,0.32,0.43,0.29,0.0,0.32,0.31,0.21,0.44,0.34
tzod.csv,0.37,0.09,0.16,0.0,0.17,0.86,0.97,0.04,0.67,0.26,0.34,0.61,0.18,0.8,0.39,0.63,0.16,0.78,0.09
yaprm.csv,0.21,0.14,0.49,0.21,0.17,0.05,0.03,0.24,0.21,0.23,0.05,0.04,0.03,0.09,0.03,0.05,0.21,0.0,0.19
zemljanka.csv,0.99,0.98,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.95,1.0,0.97,1.0,0.95,0.11,0.97
