,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.64,0.55,0.67,0.5,0.71,0.75,0.48,0.6,0.67
atlc.csv,0.49,0.58,0.66,0.6,0.97,0.55,0.67,0.5,0.6,0.52
ipfilter.csv,0.69,0.45,0.34,0.37,0.54,0.48,0.5,0.45,0.47,0.63
jmol.csv,0.44,0.55,0.3,0.44,0.41,0.44,0.44,0.37,0.52,0.37
pfaedit.csv,0.0,0.53,0.38,0.38,0.66,0.6,0.71,0.83,0.47,0.57
rockbox.csv,0.0,0.41,0.32,0.39,0.47,0.45,0.44,0.39,0.42,0.35
snakeyaml.csv,0.52,0.57,0.46,0.62,0.55,0.69,0.65,0.38,0.62,0.75
theresa.csv,0.77,0.47,0.34,0.4,0.39,0.57,0.6,0.37,0.51,0.56
trinitycore.csv,0.83,0.52,0.94,0.95,0.94,0.88,0.68,0.83,0.55,0.83
wxcode.csv,0.75,0.64,0.52,0.59,0.89,0.48,0.67,0.59,0.55,0.8
