,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.48,0.0,0.0,0.99,0.13,0.17,0.0,0.0,0.05
chrysalis.csv,0.52,0.67,0.31,0.59,0.76,0.66,0.41,0.35,0.83
jahshaka.csv,0.66,0.82,0.44,0.49,0.56,0.55,0.29,0.45,0.75
jam-daq.csv,0.62,0.11,0.56,0.64,0.62,0.75,0.13,0.37,0.26
jatlas.csv,0.55,0.61,0.53,0.56,0.97,0.62,0.21,0.18,0.49
jedit.csv,0.74,0.62,0.59,0.0,0.35,0.24,0.59,0.45,0.6
open-media-library.csv,0.62,0.5,0.72,0.59,0.76,0.69,0.53,0.51,0.0
panda3d.csv,0.6,0.39,0.5,0.45,0.57,0.55,0.45,0.56,0.63
wheat.csv,0.29,0.39,0.3,0.53,0.77,0.58,0.7,0.47,0.18
