,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.9,0.2,0.92,1.06,0.59,0.91,0.71,0.53,0.94,0.98,0.73,0.6,0.83,0.73,0.98,1.02,0.5,1.07
baadengine.csv,0.33,0.92,1.06,0.68,0.73,1.0,0.77,0.47,0.68,0.98,0.93,0.37,0.91,0.74,0.98,1.0,0.65,0.62
bibedt.csv,0.63,0.76,1.09,0.53,0.66,0.47,0.59,0.8,0.93,0.9,0.32,0.39,0.89,0.69,0.65,0.5,0.69,0.49
chaosrts.csv,0.9,0.87,0.94,0.39,0.56,1.0,0.65,0.56,1.0,0.46,0.85,0.66,0.79,0.7,0.71,1.0,0.27,0.54
dataobjectsdotnet.csv,0.88,0.92,1.03,0.49,0.67,0.84,0.67,0.96,0.72,1.16,0.64,0.87,0.74,0.54,0.89,1.0,0.54,1.0
exl.csv,0.62,0.73,0.79,0.76,0.79,0.51,0.74,0.75,0.59,1.02,0.61,0.81,0.71,0.73,0.81,0.93,0.85,0.29
gnome-jabber.csv,0.62,0.91,0.84,1.14,0.82,0.6,0.65,0.83,0.72,0.79,0.89,0.54,0.76,0.7,0.7,0.44,0.57,0.46
gogoego.csv,0.58,0.86,1.1,0.43,0.98,0.71,0.57,0.63,0.65,1.05,0.65,0.7,0.85,0.69,0.9,0.64,0.95,0.45
httpcontentparser.csv,0.84,0.92,0.72,1.06,0.97,0.87,0.64,0.73,0.35,0.88,0.62,0.8,0.7,0.73,0.71,0.91,0.87,0.76
impala.csv,0.93,0.55,0.9,0.35,0.55,0.8,0.84,0.95,0.7,1.1,0.58,0.93,0.51,0.79,0.75,0.91,0.71,0.7
jaxlib.csv,0.73,0.89,0.79,1.25,0.68,0.55,0.66,0.78,0.59,0.02,0.56,0.9,0.74,0.65,0.61,0.93,0.64,0.47
jgameai.csv,1.0,0.56,0.97,1.01,0.45,1.0,0.82,0.81,0.82,0.53,1.0,0.93,0.62,0.92,1.0,0.79,0.82,0.93
loki-lib.csv,0.59,0.7,0.7,0.76,0.61,0.94,0.71,0.51,0.62,0.77,0.81,0.89,0.59,0.78,0.51,1.0,0.39,0.78
patterntesting.csv,0.95,0.97,1.0,0.96,0.94,0.77,0.98,0.41,0.98,0.96,0.96,0.97,0.86,0.86,0.87,0.54,0.95,1.0
snakeyaml.csv,0.84,1.09,0.98,0.37,0.71,0.52,0.61,0.48,0.41,0.54,0.74,0.38,0.85,0.68,0.9,0.78,0.78,0.37
werx.csv,0.99,0.88,0.04,1.0,0.98,1.0,0.95,1.0,0.99,1.0,1.0,0.99,0.96,1.0,1.0,1.0,1.0,0.77
zealos.csv,0.94,0.81,0.91,1.02,0.81,0.46,0.89,0.71,1.0,1.03,1.0,1.0,0.96,0.95,0.93,0.99,0.6,1.0
