,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.22,0.97,0.15,0.05,0.23,0.0,0.77,0.16,0.35,0.0,0.41,0.1,0.05,0.37
calcubetimer.csv,0.51,0.39,0.51,0.19,0.42,0.16,1.0,0.74,0.36,0.17,0.67,0.95,0.07,0.79
chaosrts.csv,0.57,0.39,0.52,0.19,0.41,0.15,0.85,0.69,0.47,0.09,0.75,1.0,0.07,0.79
chaperon.csv,0.35,0.0,0.41,0.0,0.21,1.0,0.54,0.0,0.37,0.09,0.17,0.09,0.29,0.18
dxengine.csv,0.58,0.2,1.0,0.49,0.41,0.25,0.64,0.36,0.49,0.21,0.09,0.38,0.39,0.56
emono.csv,0.42,0.28,0.51,0.04,0.32,0.1,0.6,0.34,0.34,0.0,0.44,0.52,0.09,0.99
factor.csv,0.0,0.0,0.0,0.21,0.31,0.0,0.3,0.0,0.07,0.0,0.22,0.06,1.0,0.02
jas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.15,0.0,0.0
jmoney.csv,1.0,0.16,0.49,0.34,0.17,0.2,0.51,0.53,0.19,0.0,0.08,0.41,0.08,0.29
jmonkeyengine.csv,0.12,0.05,0.27,0.28,0.94,0.15,0.19,0.12,0.38,0.07,0.13,0.22,0.89,0.24
matrex.csv,0.68,0.26,0.18,0.32,0.12,0.17,0.49,1.0,0.17,0.18,0.05,0.54,0.04,0.02
primefaces.csv,0.22,0.3,0.51,0.17,0.44,0.11,0.45,0.44,0.42,0.19,0.99,0.65,0.15,0.72
roolo.csv,0.52,0.14,0.0,0.19,0.23,0.0,0.35,0.28,0.97,0.04,0.09,0.25,0.0,0.02
sblim.csv,0.1,0.0,0.14,0.98,0.11,0.0,0.1,0.02,0.0,0.0,0.05,0.07,0.73,0.02
