,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.62,0.09,0.4,0.16,0.45,0.16,0.81,0.32,0.29,0.36,0.04,0.48
bscwweasel.csv,0.75,0.08,0.39,0.3,0.41,0.25,0.65,0.3,0.35,0.35,0.11,0.41
capcode.csv,0.75,0.12,0.25,0.15,0.4,0.36,0.73,0.39,0.28,0.4,0.06,0.38
emite.csv,0.61,0.07,0.31,0.07,0.42,0.04,0.8,0.18,0.4,0.26,0.0,0.57
lamp.csv,0.46,0.22,0.42,0.14,0.3,0.15,0.74,0.4,0.32,0.45,0.05,0.39
mecat.csv,0.53,0.25,0.5,0.08,0.36,0.13,1.0,0.25,0.0,0.56,0.33,0.0
nodal.csv,1.0,0.19,0.4,0.15,0.26,0.17,0.86,0.4,0.41,0.43,0.06,0.62
pydev.csv,0.49,0.19,0.23,0.14,0.38,0.15,0.67,0.29,0.35,0.5,0.06,0.4
retromenu.csv,0.51,0.15,0.41,0.18,0.6,0.14,0.79,0.21,0.33,0.6,0.0,0.53
smbopensoft.csv,0.83,0.1,0.22,0.15,0.34,0.18,0.79,0.27,0.3,0.33,0.04,0.45
stuproa-cims.csv,0.33,0.16,0.22,0.15,0.41,0.25,0.5,0.47,0.25,0.33,0.07,0.54
thout.csv,0.56,0.1,0.42,0.24,0.27,0.16,0.75,0.27,0.27,0.31,0.02,0.42
