,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.24,0.33,0.17,0.27,0.23,0.24,0.35,0.23,0.3,0.28,0.17,0.34
bscwweasel.csv,0.26,0.35,0.21,0.18,0.18,0.17,0.26,0.25,0.2,0.27,0.17,0.24
capcode.csv,0.25,0.35,0.43,0.38,0.2,0.2,0.3,0.17,0.28,0.24,0.24,0.3
emite.csv,0.24,0.22,0.17,0.23,0.17,0.23,0.34,0.32,0.3,0.21,0.32,0.25
lamp.csv,0.25,0.17,0.13,0.25,0.33,0.3,0.38,0.24,0.21,0.19,0.32,0.18
mecat.csv,0.24,0.38,0.44,0.28,0.15,0.2,0.38,0.2,0.33,0.17,0.17,0.37
nodal.csv,0.26,0.15,0.15,0.22,0.3,0.2,0.26,0.18,0.2,0.21,0.21,0.17
pydev.csv,0.27,0.15,0.43,0.41,0.29,0.35,0.18,0.33,0.2,0.22,0.29,0.18
retromenu.csv,0.24,0.16,0.15,0.15,0.17,0.18,0.14,0.2,0.16,0.28,0.19,0.24
smbopensoft.csv,0.2,0.38,0.42,0.3,0.33,0.24,0.35,0.2,0.29,0.29,0.27,0.3
stuproa-cims.csv,0.26,0.23,0.42,0.18,0.23,0.14,0.36,0.25,0.23,0.29,0.21,0.17
thout.csv,0.22,0.4,0.16,0.22,0.26,0.34,0.39,0.34,0.31,0.24,0.29,0.37
