,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.19,0.34,0.12,0.37,0.44,0.12,1.0,0.27,0.33,0.24,0.17,0.02,0.67,0.09,0.41,0.41,0.15,0.28,0.35
bzbyte.csv,0.84,0.47,0.82,0.52,0.81,0.88,0.63,0.71,0.81,0.86,0.83,1.0,0.95,0.82,0.79,0.54,0.89,0.36,0.84
chrysalis.csv,0.37,0.09,0.26,0.35,0.3,0.43,0.22,0.23,0.21,0.28,0.08,0.25,0.38,0.25,0.0,0.41,0.85,0.31,0.37
dspace-gsoc.csv,0.5,0.31,0.35,0.26,0.32,0.15,0.44,0.33,0.35,0.45,1.0,0.32,0.47,0.43,0.09,0.24,0.26,0.33,0.34
fbmanager.csv,0.56,0.41,0.97,0.7,0.66,0.42,0.37,0.63,0.44,0.33,0.22,0.49,0.7,0.43,0.53,0.44,0.41,0.31,0.58
fityk.csv,0.65,0.34,0.76,0.43,0.62,0.57,0.11,0.6,0.48,0.02,0.72,0.81,0.6,0.93,0.62,0.22,0.33,0.76,0.57
fleet-simulator.csv,0.97,0.66,0.82,0.8,0.79,0.49,0.63,0.62,0.73,0.84,0.92,0.53,0.87,0.93,0.79,1.0,0.74,0.45,0.64
freenet.csv,0.37,0.69,0.65,0.39,0.99,0.53,0.7,0.56,0.75,0.47,0.92,0.67,0.66,0.64,0.68,0.5,0.41,0.79,0.75
google-caja.csv,0.59,0.66,0.85,0.63,0.71,0.65,0.96,0.96,0.52,0.48,0.53,0.67,0.73,0.64,0.56,0.69,0.67,0.6,0.73
k3b.csv,0.66,0.56,0.74,0.8,0.72,0.39,0.7,0.64,0.67,1.0,0.67,0.56,0.91,0.7,0.76,0.7,0.59,0.69,0.67
mediaportal.csv,0.06,0.34,0.0,0.8,0.58,0.78,0.48,0.74,0.48,0.03,0.0,0.58,0.81,0.09,0.44,1.0,0.44,0.52,0.78
myfaces.csv,0.93,0.62,1.0,0.85,0.9,0.7,0.78,0.78,0.92,0.91,0.83,0.79,0.85,0.93,0.29,1.0,0.74,0.43,0.9
onotoa.csv,0.66,0.5,0.88,0.52,0.78,1.0,0.48,0.53,0.6,0.59,0.64,0.61,0.54,0.7,0.59,0.81,0.7,0.47,0.73
paintown.csv,0.94,0.5,0.68,0.61,0.68,0.61,0.48,0.65,0.81,0.57,0.58,0.72,0.75,0.52,0.74,0.48,0.74,0.52,0.78
poormans.csv,0.47,0.59,0.44,0.63,0.55,0.2,0.37,0.26,0.4,0.55,0.11,0.25,0.72,0.18,0.88,0.52,0.22,0.74,0.33
sqlpower-library.csv,0.32,0.62,0.15,1.0,0.66,0.53,0.48,0.6,0.42,0.47,0.36,0.6,0.55,0.34,0.56,0.44,0.22,0.5,0.74
triplea.csv,0.71,1.0,0.71,0.8,0.82,0.57,0.67,0.81,0.92,0.84,0.72,0.67,0.79,0.61,0.82,0.81,0.85,0.74,0.79
xamj.csv,0.96,0.88,0.85,0.91,0.87,0.7,0.96,0.82,0.77,0.78,0.31,0.84,0.78,0.77,0.82,0.74,0.56,0.9,0.95
