,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv
ikvm.csv,0.81,0.62,0.53,0.8,0.79,0.76,0.95
libtorrent.csv,0.38,0.38,0.38,0.44,0.36,0.36,0.45
mcmc-jags.csv,0.4,0.54,0.82,0.8,0.49,0.49,0.46
olap-navigator.csv,0.52,0.45,0.51,0.59,0.4,0.36,0.47
pidgin.csv,0.56,0.42,0.35,0.67,0.39,0.41,0.52
sepgsql.csv,0.95,0.9,0.97,0.67,0.84,0.83,0.83
xstore.csv,0.41,0.44,0.45,0.58,0.4,0.46,0.51
