,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.74,0.28,0.31,0.09,0.67,0.71,0.08,0.89,0.65,0.18
ivatamasks.csv,0.79,0.57,0.62,0.99,0.53,0.17,0.47,0.46,0.6,0.54
orc.csv,0.11,0.06,0.88,0.1,0.64,0.81,0.11,0.14,0.54,0.13
plato.csv,0.21,0.83,0.88,0.72,0.58,0.95,0.87,0.82,0.88,0.62
rodin-b-sharp.csv,0.0,0.53,0.25,0.5,0.06,0.33,0.92,0.18,0.19,0.07
umber.csv,1.0,0.25,0.5,0.59,0.27,0.12,0.26,0.29,0.11,0.29
unicase.csv,0.89,0.91,0.88,0.77,0.33,0.62,0.67,0.79,0.99,0.81
uwom.csv,0.68,0.57,0.69,0.53,0.69,0.76,0.5,0.54,0.33,0.95
vienna-add-in.csv,0.95,1.0,1.0,1.0,1.0,0.81,0.9,0.96,0.72,0.96
wpdev.csv,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,0.98
