,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.24,1.0,0.31,1.0,0.6,0.81,0.28,0.96,0.67,0.52
ivatamasks.csv,0.65,1.0,0.15,0.99,0.68,0.7,0.42,0.19,0.77,0.25
orc.csv,0.05,1.0,1.0,0.77,0.6,0.81,0.39,0.33,0.66,0.27
plato.csv,0.08,0.98,0.1,0.64,0.59,1.0,0.41,0.18,0.72,0.2
rodin-b-sharp.csv,0.0,0.99,0.33,0.73,0.56,0.93,1.0,0.2,0.75,0.21
umber.csv,0.95,1.0,0.17,0.83,0.85,0.62,0.31,0.17,0.91,0.19
unicase.csv,0.37,1.0,0.15,0.66,0.59,0.9,0.48,0.22,0.99,0.22
uwom.csv,0.29,1.0,0.11,0.68,0.66,0.84,0.28,0.16,0.67,0.98
vienna-add-in.csv,0.43,0.99,0.1,0.68,0.99,0.85,0.36,0.17,0.75,0.21
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.84,0.36,0.17,0.72,0.23
