,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.36,0.43,0.31,0.17,0.63,0.76,0.12,0.93,0.66,0.27
ivatamasks.csv,0.71,0.73,0.24,0.99,0.59,0.27,0.44,0.27,0.68,0.34
orc.csv,0.07,0.11,0.93,0.18,0.62,0.81,0.18,0.2,0.6,0.18
plato.csv,0.11,0.9,0.18,0.68,0.59,0.98,0.56,0.3,0.79,0.3
rodin-b-sharp.csv,0.0,0.69,0.29,0.59,0.11,0.49,0.96,0.19,0.31,0.1
umber.csv,0.97,0.4,0.25,0.69,0.4,0.2,0.28,0.21,0.19,0.23
unicase.csv,0.52,0.95,0.26,0.71,0.42,0.73,0.56,0.35,0.99,0.34
uwom.csv,0.41,0.73,0.19,0.59,0.67,0.8,0.36,0.24,0.44,0.97
vienna-add-in.csv,0.59,0.99,0.19,0.81,0.99,0.83,0.51,0.28,0.74,0.35
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.91,0.53,0.29,0.83,0.37
