,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.38,0.63,0.94,0.89,0.4,0.41,0.97,0.96,0.49,0.98
ivatamasks.csv,0.52,0.48,0.56,0.43,0.57,0.9,0.55,0.57,0.41,0.61
orc.csv,0.57,0.88,0.93,0.92,0.45,0.45,0.97,0.92,0.57,0.99
plato.csv,0.46,0.46,0.31,0.54,0.6,0.47,0.49,0.53,0.44,0.56
rodin-b-sharp.csv,0.5,0.7,0.92,0.63,0.89,0.6,0.7,0.96,0.99,0.98
umber.csv,0.6,0.91,0.56,0.46,0.69,0.75,0.52,0.49,0.98,0.62
unicase.csv,0.37,0.4,0.41,0.5,0.67,0.52,0.62,0.52,0.44,0.44
uwom.csv,0.51,0.49,0.41,0.56,0.51,0.45,0.5,0.57,0.64,0.8
vienna-add-in.csv,0.45,0.39,0.29,0.43,0.54,0.45,0.4,0.4,0.46,0.4
wpdev.csv,0.34,0.39,0.29,0.43,0.41,0.42,0.38,0.4,0.38,0.39
