,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.84,0.72,0.69,0.91,0.98,0.92,0.93,0.11,0.92,0.82
ivatamasks.csv,0.26,0.43,0.55,0.02,0.7,0.91,0.65,0.68,0.61,0.65
orc.csv,1.13,0.94,0.12,0.9,0.95,1.02,0.89,0.86,0.85,0.87
plato.csv,1.18,1.02,0.93,0.89,0.91,0.05,0.71,0.77,0.89,0.79
rodin-b-sharp.csv,1.0,0.69,0.75,0.63,0.94,0.68,0.08,0.83,0.82,0.94
umber.csv,0.02,0.75,0.58,0.48,0.74,0.96,0.81,0.77,0.89,0.79
unicase.csv,0.54,0.09,0.58,0.84,0.82,0.53,0.54,0.6,0.03,0.84
uwom.csv,0.66,0.43,0.71,0.71,0.77,0.79,0.88,0.76,0.8,0.05
vienna-add-in.csv,0.44,1.0,0.98,1.0,0.02,0.77,0.92,1.0,0.69,1.0
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,0.95
