,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.8,0.0,0.08,0.0,0.93,0.88,0.11,0.01,0.86,0.05
ivatamasks.csv,0.15,0.0,0.4,0.02,0.51,0.38,0.38,0.41,0.46,0.46
orc.csv,0.69,0.0,0.0,0.06,0.88,1.0,0.1,0.06,0.72,0.1
plato.csv,0.87,1.0,0.92,0.85,0.8,0.0,0.7,0.75,0.88,0.69
rodin-b-sharp.csv,0.04,0.5,0.06,0.38,0.1,0.12,0.0,0.15,0.17,0.07
umber.csv,0.02,0.0,0.29,0.26,0.1,0.38,0.33,0.29,0.03,0.34
unicase.csv,0.53,0.0,0.56,0.81,0.46,0.38,0.42,0.56,0.03,0.82
uwom.csv,0.58,0.0,0.64,0.53,0.71,0.75,0.72,0.6,0.43,0.0
vienna-add-in.csv,0.44,1.0,0.98,1.0,0.02,0.75,0.92,1.0,0.63,1.0
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,0.95
