,kmatplot.csv,firebird.csv,popeye-chess.csv,cities3d.csv,mscore.csv,openmalaria.csv,riff-evolve.csv
cities3d.csv,0.59,0.98,0.75,0.59,0.51,0.67,0.88
firebird.csv,0.36,0.44,0.49,0.37,0.53,0.59,0.42
kmatplot.csv,0.49,0.88,0.0,0.49,0.6,0.66,0.51
mscore.csv,0.42,0.44,0.45,0.68,0.42,0.41,0.37
openmalaria.csv,0.42,0.33,0.39,0.41,0.36,0.4,0.35
popeye-chess.csv,0.5,0.44,0.44,0.96,0.39,0.5,0.53
riff-evolve.csv,0.49,0.57,0.45,0.56,0.56,0.7,0.54
