,kmatplot.csv,firebird.csv,popeye-chess.csv,cities3d.csv,mscore.csv,openmalaria.csv,riff-evolve.csv
cities3d.csv,0.37,0.28,0.1,0.33,0.55,0.09,0.44
firebird.csv,0.3,0.61,0.74,0.22,0.57,0.58,0.71
kmatplot.csv,0.53,0.04,0.0,0.23,0.51,0.42,0.4
mscore.csv,0.38,0.64,0.66,0.33,0.72,0.67,0.65
openmalaria.csv,0.39,0.65,0.71,0.23,0.75,0.74,0.65
popeye-chess.csv,0.34,0.55,0.69,0.35,0.69,0.59,0.6
riff-evolve.csv,0.43,0.53,0.68,0.3,0.53,0.48,0.69
